"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"Descripción de las vías que estimulan el perfil Th17 en la Esclerosis Sistémica y su correlación con subtipos y etapas clínicas.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","TATIANA SOFIA RODRIGUEZ REYNA","Nivel 1","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION DR. SALVADOR ZUBIRAN","ENFERMEDADES AUTOINMUNES"
"COMPARACION DEL ESTADO INFLAMATORIO ENTRE PACIENTES RECEPTORES DE TRASPLANTE RENAL CON INJERTO RENAL NO FUNCIONAL Y PACIENTES EN DIALISIS NO TRASPLANTADOS.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","LUIS GUILLERMO LLORENTE PETERS","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",INMUNOBIOLOGIA
"COMPARACION DEL ESTADO INFLAMATORIO ENTRE PACIENTES RECEPTORES DE TRASPLANTE RENAL CON INJERTO RENAL NO FUNCIONAL Y PACIENTES EN DIALISIS NO TRASPLANTADOS.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","JOSEFINA MARIA ALBERU GOMEZ","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION DR. SALVADOR ZUBIRAN",
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","JOSEFINA MARIA ALBERU GOMEZ","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION DR. SALVADOR ZUBIRAN","CIRUGÍA GENERAL Y CIRUGÍA DE TRASPLANTES"
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","MARIO VILATOBA CHAPA","Nivel 1","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","CIRUGÍA GENERAL Y CIRUGÍA DE TRASPLANTES"
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","ALAN GABRIEL CONTRERAS SALDIVAR",,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","CIRUGÍA GENERAL Y CIRUGÍA DE TRASPLANTES."
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","JULIO GRANADOS ARRIOLA","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","INMUNOLOGÍA E INMUNOGENÉTICA."
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","LUIS EDUARDO MORALES BUENROSTRO","Nivel 2","INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","MEDICINA INTERNA Y NEFROLOGÍA."
"IDENTIFICACIÓN DE PATRONES DE RIESGO GENÉTICO-AMBIENTAL ASOCIADOS AL MIELOMENINGOCELE EN FAMILIAS MEXICANAS MESTIZAS","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","EDNA BERUMEN AMOR",,"FUNDACION TELETON","REHABILITACION FISICA Y ADAPTATIVA"
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","BERNARDO GABILONDO PLIEGO",,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","UROLOGÍA Y TRASPLANTE RENAL."
"Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","ERICK ALEJANDRO HERNÁNDEZ MÉNDEZ",,,
"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","JHONATHAN SAUL CASTILLO PEDROZA",,,
"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","JOSE LUIS CARRILLO ALDUENDA","Nivel 1",,"ESPECIALISTA EN MEDICINA DEL DORMIR"
"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","JUAN CARLOS VAZQUEZ GARCIA","Nivel 1","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS","MEDICINA DEL DORMIR"
"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","JOSE ROGELIO PEREZ PADILLA","Nivel 3","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",NEUMOLOGIA
"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS","ARMANDO ROBERTO CASTORENA MALDONADO","Nivel 1","SECRETARIA DE SALUD","MEDICINA DEL SUEÑO"
"Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del  ejercicio en sujetos con diferentes IMC","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","BARBARA PATRICIA ANTUNA PUENTE","Nivel 1",,
"Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del  ejercicio en sujetos con diferentes IMC","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","Eduardo Garcia Garcia",,,
"Estudio de la asociación de la microbiota intestinal con la obesidad y sus complicaciones metabólicas en población infantil mexicana.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","CARLOS ALBERTO AGUILAR SALINAS","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","MEDICINA INTERNA Y ENDOCRINOLOGIA"
"Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del  ejercicio en sujetos con diferentes IMC","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","Marcela Rodríguez Flores",,"Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubiran""","Posgrado de especialidad en Obesidad"
"Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del  ejercicio en sujetos con diferentes IMC","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","MAURICIO SIERRA SALAZAR","Nivel 1","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN","Cirugía Endocrina y Laparoscopia Avanzada"
"Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","BENJAMIN PINEDA OLVERA","Nivel 1",,
"Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","SAMUEL CANIZALES QUINTEROS","Nivel 2","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",
"Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","LORENA SOFIA OROZCO OROZCO","Nivel 2","INSTITUTO NACIONAL DE MEDICINA GENÓMICA",
"Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","JOSE DE JESUS FLORES RIVERA",Candidato,"INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA",
"Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","GRACIELA ORDOÑEZ LOZANO","Nivel 1","INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA",
"Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","JULIO EVERARDO SOTELO MORALES","Nivel 3","INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA",
"Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del  ejercicio en sujetos con diferentes IMC","INSTITUTO NACIONAL DE MEDICINA GENÓMICA","ALESSANDRA CARNEVALE CANTONI","Nivel 3","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","Genética Humana"
"Obtención y caracterización de células troncales embrionarias humanas a partir de cigotos en segmentación de mala calidad","INSTITUTO NACIONAL DE PERINATOLOGIA","JULIO FRANCISCO DE LA JARA DÍAZ",,"INSTITUTO NACIONAL DE PERINATOLOGIA","BIOLOGÍA DE LA REPRODUCCIÓN"
"Obtención y caracterización de células troncales embrionarias humanas a partir de cigotos en segmentación de mala calidad","INSTITUTO NACIONAL DE PERINATOLOGIA","EVA VEGA HERNÁNDEZ",,"INSTITUTO NACIONAL DE PERINATOLOGÍA",EMBRIOLOGÍA
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Abel Lerma Talamantes",,"Posdoctorante CONACYT-Universidad de Guadalajara","Epidemiología Clinica"
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Sergio Quintero Hernández",,"Servicios de Salud del Municipio de Zapopan","Especialidad en Ortopedia, traumatología y rehabilitación"
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Adrian Daneri Navarro","Nivel 1","Universidad de Guadalajara","Patología e inmunología clínica en cáncer."
"ANÁLISIS DE LA CONECTIVIDAD FUNCIONAL CON RESONANCIA MAGNETICA: Una alternativa para mejorar el tratamiento del cerebro adicto.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","JORGE JULIO GONZALEZ OLVERA",Candidato,,
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Alfredo Rizo Méndez",,"Hospital Civil de Guadalajara ¿Fray Antonio Alcalde¿","Especialidad en Psiquiatría"
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Benjamín Becerra Rodríguez",,"Hospital CIvil de Guadalajara ""Fray Antonio Alcalde""","Especialidad en Psiquiatría"
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Francisco Páez Agraz",,"FOCUS Salud México SC","Especialidad en psiquiátría."
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","Gerardo Larios Aceves",,"Servicios de Salud del Municipio de Zapopan","Servicios de salud"
"ANÁLISIS DE LA CONECTIVIDAD FUNCIONAL CON RESONANCIA MAGNETICA: Una alternativa para mejorar el tratamiento del cerebro adicto.","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ","FRANCISCO JULIO PELLICER GRAHAM","Nivel 2","INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ",
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","EFRAÍN NAVARRO OLIVOS",,,
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","AIDA JIMENEZ CORONA","Nivel 1","INSTITUTO NACIONAL DE SALUD PUBLICA",
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","LETICIA HERNANDEZ CADENA","Nivel 1","INSTITUTO NACIONAL DE SALUD PUBLICA",
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","MA. DE LOURDES GUADALUPE FLORES LUNA","Nivel 1","INSTITUTO NACIONAL DE SALUD PUBLICA",
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","ISABELLE FRANCOISE MARIE PIERR ROMIEU PAGEZY",,"International Agency for Research on Cancer",
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","MARIA EUGENIA JIMENEZ CORONA","Nivel 1","LABORATORIO DE BIOLOGICOS Y REACTIVOS DE MEXICO S.A. DE C.V.",
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","ROBERT G NELSON -",,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH, USA",
"Factores Ambientales de la Diabetes: Disruptores endócrinos ambientales y el Riesgo de Desarrollo de Diabetes y Enfermedad Cardiovascular en Mujeres Mexicanas del Estudio EsMaestras","INSTITUTO NACIONAL DE SALUD PUBLICA","ISABELLE FRANCOISE MARIE PIERR ROMIEU PAGEZY",,"INSTITUTO NACIONAL DE SALUD PUBLICA","Cáncer de mama, epidemiología, metabolismo de la nutrición y salud pública"
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","JUAN CARLOS ZENTENO RUIZ","Nivel 3","FUNDACION DE ASISTENCIA PRIVADA CONDE DE VALENCIANA, IAP",
"Evaluación de Técnicas Rápidas, Novedosas y de Bajo Costo para la detección Bidireccional de la Tuberculosis (TB) y de la Diabetes Mellitus Tipo 2 (DM) en México","INSTITUTO NACIONAL DE SALUD PUBLICA","LUIS ALFREDO PONCE DE LEON GARDUÑO","Nivel 2","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",
"Evaluación de Técnicas Rápidas, Novedosas y de Bajo Costo para la detección Bidireccional de la Tuberculosis (TB) y de la Diabetes Mellitus Tipo 2 (DM) en México","INSTITUTO NACIONAL DE SALUD PUBLICA","JOSE SIFUENTES OSORNIO","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","ENRIQUE OCTAVIO GRAUE HERNANDEZ",,,Cornea
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","YONATHAN OMAR GARFIAS BECERRA","Nivel 1",,Inmunologia
"Evaluación de Técnicas Rápidas, Novedosas y de Bajo Costo para la detección Bidireccional de la Tuberculosis (TB) y de la Diabetes Mellitus Tipo 2 (DM) en México","INSTITUTO NACIONAL DE SALUD PUBLICA","CARLOS ALBERTO AGUILAR SALINAS","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",Internista
"Evaluación de Técnicas Rápidas, Novedosas y de Bajo Costo para la detección Bidireccional de la Tuberculosis (TB) y de la Diabetes Mellitus Tipo 2 (DM) en México","INSTITUTO NACIONAL DE SALUD PUBLICA","ALEJANDRA RENATA BAEZ SALDAÑA","Nivel 1","INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",Neumologa
"Estudio para la detección oportuna y tratamiento de los componentes del síndrome metabólico en adultos de comunidades marginales; una intervención comunitaria sustentable de prevención y control","INSTITUTO NACIONAL DE SALUD PUBLICA","SIMON BARQUERA CERVERA","Nivel 2",,"Obesidad y enfermedades metabólicas"
"MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2","INSTITUTO NACIONAL DE SALUD PUBLICA","SERGIO CESAR HERNANDEZ JIMENEZ",,,
"Factores Ambientales de la Diabetes: Disruptores endócrinos ambientales y el Riesgo de Desarrollo de Diabetes y Enfermedad Cardiovascular en Mujeres Mexicanas del Estudio EsMaestras","INSTITUTO NACIONAL DE SALUD PUBLICA","ANDRES CATZIN KUHLMANN",,"INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",
"Factores Ambientales de la Diabetes: Disruptores endócrinos ambientales y el Riesgo de Desarrollo de Diabetes y Enfermedad Cardiovascular en Mujeres Mexicanas del Estudio EsMaestras","INSTITUTO NACIONAL DE SALUD PUBLICA","CLICERIO GONZALEZ VILLALPANDO","Nivel 3","INSTITUTO NACIONAL DE SALUD PUBLICA",
"Estudio para la detección oportuna y tratamiento de los componentes del síndrome metabólico en adultos de comunidades marginales; una intervención comunitaria sustentable de prevención y control","INSTITUTO NACIONAL DE SALUD PUBLICA","CARLOS ALBERTO AGUILAR SALINAS","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN",Endocrinología
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","JUAN ANGEL RIVERA DOMMARCO","Nivel 3","INSTITUTO NACIONAL DE SALUD PUBLICA",
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","Usha Ramakrishnan",,"Universidad de Emory",
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","Ricardo Uauy",,"University of London",
"Estudio para la detección oportuna y tratamiento de los componentes del síndrome metabólico en adultos de comunidades marginales; una intervención comunitaria sustentable de prevención y control","INSTITUTO NACIONAL DE SALUD PUBLICA","LUCIA HERNANDEZ BARRERA",,,Nutrición
"Inmunogenicidad, seguridad y costo efectividad de la respuesta inmune a la primo-inmunización con dos vacunas contra sarampión, rubéola y parotiditis (SRP), aplicadas por aerosol o por inyección en niños de 1 año de edad","INSTITUTO NACIONAL DE SALUD PUBLICA","César Misael Gómez Altamirano",,"Consejo Nacional de Vacunación y Centro Nacional para la Salud de la Infancia y la Adolescencia","Pediatría, Infectología Pediatrica y Medicina Preventiva"
"Estudio para la detección oportuna y tratamiento de los componentes del síndrome metabólico en adultos de comunidades marginales; una intervención comunitaria sustentable de prevención y control","INSTITUTO NACIONAL DE SALUD PUBLICA","ISMAEL RICARDO CAMPOS NONATO",Candidato,"INSTITUTO NACIONAL DE SALUD PUBLICA","Doctorado en Ciencias en Salud Pública"
"Factores Ambientales de la Diabetes: Disruptores endócrinos ambientales y el Riesgo de Desarrollo de Diabetes y Enfermedad Cardiovascular en Mujeres Mexicanas del Estudio EsMaestras","INSTITUTO NACIONAL DE SALUD PUBLICA","MARIANO ENRIQUE CEBRIAN GARCIA","Nivel 3","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.",
"Evaluación y acciones de continuidad de una estrategia integral de intervención comunitaria en salud ambiental en Alpuyeca, Morelos.","INSTITUTO NACIONAL DE SALUD PUBLICA","FERNANDO DIAZ-BARRIGA MARTINEZ","Nivel 3","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","Especialista en evaluación de riesgo, toxicología clínica comunitaria"
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte","INSTITUTO NACIONAL DE SALUD PUBLICA","Maria Luisa Garmendia Miguel",,"Instituto de Nutrición y Tecnología de los Alimentos de la Universidad de Chile",
"Asociación entre polimorfismos de genes que codifican enzimas relacionadas con el glutation y el riesgo de isquemia cerebral en población mexicana","INSTITUTO POLITECNICO NACIONAL","GUADALUPE CLEVA VILLANUEVA LOPEZ","Nivel 1","INSTITUTO POLITECNICO NACIONAL",
"Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México","INSTITUTO POLITECNICO NACIONAL","ISMAEL ANTONIO LARES ASEF","Nivel 1","INSTITUTO POLITECNICO NACIONAL",
"Asociación entre polimorfismos de genes que codifican enzimas relacionadas con el glutation y el riesgo de isquemia cerebral en población mexicana","INSTITUTO POLITECNICO NACIONAL","LIZETH BERNABÉ LEÓN",,"Instituto Politécnico Nacional",
"Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México","INSTITUTO POLITECNICO NACIONAL","María de la Merced Velazquez Quintana",,": Instituto Chihuahuense de la Salud / General del Grupo Unidad de Investigación en Salud (Grupo UIS®)",
"Asociación entre polimorfismos de genes que codifican enzimas relacionadas con el glutation y el riesgo de isquemia cerebral en población mexicana","INSTITUTO POLITECNICO NACIONAL","JENNER QUILSON AGUILAR CASTILLO",,,Neurocirugía
"Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México","INSTITUTO POLITECNICO NACIONAL","Jorge Arturo Torres Monreal",,"Universidad Autónoma España",
"Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México","INSTITUTO POLITECNICO NACIONAL","Jorge Alberto Díaz García",,"Universidad España",
"Estudio de los mecanismos celulares de activación en reacciones autoinmunes inducidas por fármacos","INSTITUTO POLITECNICO NACIONAL","JUDITH GUADALUPE DOMINGUEZ CHERIT","Nivel 1","Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán","Cirugia Dermatologica / Especialista en Farmacodérmias"
"Asociación entre polimorfismos de genes que codifican enzimas relacionadas con el glutation y el riesgo de isquemia cerebral en población mexicana","INSTITUTO POLITECNICO NACIONAL","CESAR ANTONIO GONZALEZ DIAZ","Nivel 1","Instituto Politécnico Nacional","Ingeniería biomédica"
"Asociación entre polimorfismos de genes que codifican enzimas relacionadas con el glutation y el riesgo de isquemia cerebral en población mexicana","INSTITUTO POLITECNICO NACIONAL","RAFAEL COBILT CATANA",,,"Maestría en Ciencias de la Salud con Especialidad en Investigación Clínica"
"Asociación entre polimorfismos de genes que codifican enzimas relacionadas con el glutation y el riesgo de isquemia cerebral en población mexicana","INSTITUTO POLITECNICO NACIONAL","ARTURO ALVA FELIX DIAZ",,"Instituto Politécnico Nacional",
"VALIDACIÓN DE GENES BIOMARCADORES DE RECURRENCIA EN PACIENTES MEXICANAS CON CÁNCER DE MAMA","INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY","EDUARDO ALBERTO GUZMAN HUERTA","Nivel 1",,
