"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"CAMBIOS EN LA REACTIVIDAD VASCULAR  CEREBRAL EN PACIENTES MAYORES DE 65  AÑOS  CON ALTERACIONES EN LA MEMORIA SEMÁNTICA  COMO PREDICTOR DE  DETERIORO COGNOSCITIVO VASCULAR SUBCORTICAL","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Alberto José Mimenza Alvarado",,"Trastornos Psiquiátricos o Neurológicos"
"Análisis filogenético de poblaciones del virus Dengue (DENV) aislados del mosquito vector Aedes aegypti en tres localidades geográficamente separadas de México: Monterrey, Chetumal y Acapulco.","Universidad Autónoma de Nuevo León","Ildefonso Fernández Salas",2,"Enfermedades Infecciosas y Parasitarias"
"Expresión de microRNAs y su relación con marcadores de maduración en células del sistema inmune de población expuesta a contaminantes ambientales","Universidad Autónoma de San Luis Potosí","Mariana Salgado Bustamante",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"Detección e identificación de virus de influenza estacional, A/H1N1 pandémica, así como de diferentes virus respiratorios mediante amplificación múltiple en tiempo real empleando la tecnología de arreglos dinámicos de nanofluidos.","Instituto Nacional de Enfermedades Respiratorias","Joel Armando Vázquez Pérez",1,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACIÓN DE BIOMARCADORES MOLECULARES EPIGENÉTICOS Y DE EXPRESIÓN ASOCIADOS AL DESARROLLO DE METÁSTASIS EN PACIENTES CON CÁNCER CERVICO-UTERINO. EMPLEO DE HERRAMIENTAS DE ANÁLISIS GENÓMICO BASADAS EN MICROARREGLOS.","Instituto Nacional de Cancerología","Carlos Guadalupe Pérez Plasencia",1,"Neoplasias Malignas"
"POTENCIAL ANTIOXIDANTE ASOCIADO AL ESTRÉS ESTRUCTURAL Y ESTADO RED-OX DE LA ALBÚMINA DEL PLASMA COMO FACTOR PREDICTIVO DE LA PROGRESIÓN DE LA  ENFERMEDAD RENAL  CRÓNICA (ERC) EN EL PACIENTE DIABÉTICO.","Instituto Mexicano del Seguro Social","Rafael Medina Navarro",2,"Enfermedades crónicas o degenerativas"
"Diagnóstico rápido  y oportuno de tuberculosis meningea","Instituto Politécnico Nacional","Julieta Luna Herrera",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"MicroRNAs en circulación sanguínea de pacientes con cáncer pulmonar: nuevos marcadores, estables y específicos, para el diseño de una prueba diagnóstica no-invasiva y su posible aplicación como blancos terapéuticos a nivel sanguíneo en el cáncer pulmonar","Instituto Nacional de Enfermedades Respiratorias","Blanca Ortíz Quintero",1,"Neoplasias Malignas"
"Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular","Instituto Nacional de Enfermedades Respiratorias","Luis Horacio Gutiérrez González",1,"Enfermedades Infecciosas y Parasitarias"
"Estudios de alteraciones cromosómicas, patrones de expresión génica y de metilación en tumores de sistema nervioso central (ependimales) de pacientes pediátricos.","Instituto Mexicano del Seguro Social","Normand García Hernández",1,"Neoplasias Malignas"
"ESTUDIO DE LA FOSFOPROTEINA ESTIMULADA POR VASODILATADORES (VASP) PARA LA EVALUACIÓN DE REACTIVIDAD PLAQUETARIA Y RESISTENCIA A CLOPIDOGREL EN PACIENTES CON ENFERMEDAD CARDIOVASCULAR ISQUÉMICA SOMETIDOS A INTERVENCIÓN CORONARIA PERCUTÁNEA.","Universidad Michoacana de San Nicolás de Hidalgo","Martha Eva Viveros Sandoval",,"Enfermedades crónicas o degenerativas"
"EVALUACIÓN DE LA POTENCIALIDAD DE UNA FORMA DE USO DE LA GRANADA ROJA (Punica granatum L.) EN EL CONTROL DE LA EUGLICEMIA E INHIBICIÓN DE LA FORMACIÓN DE ATEROSCLEROSIS EMPLEANDO UN MODELO ANIMAL DIABETIZADO Y ATEROGÉNICO","Universidad Autónoma del Estado de Hidalgo","Gabriel Betanzos Cabrera",1,"Enfermedades crónicas o degenerativas"
"BUSQUEDA DE CNVs EN INDIVIDUOS CON TRISOMÍA 21 Y MONOSOMIA X","Instituto Nacional de Pediatria","Sara Frías Vázquez",2,"Salud Reproductiva y Perinatal"
"La asociación de un inhibidor del CYP3A4 mantiene constantes los niveles séricos de IMATINIB en pacientes con Leucemia Mielocítica Crónica.","Instituto Nacional de Cancerología","Patricia García López",1,"Neoplasias Malignas"
"Diseño e Implementación de un Programa de Comunicación de Riesgos, una alternativa de intervención para mejorar la salud ambiental infantil en una zona con diversos problemas ambientales.","Universidad Autónoma de San Luis Potosí","Ana Cristina Cubillas Tejeda",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"BIOMARCADORES PREDICTIVOS DE LA MODULACIÓN DE LA RESPUESTA INFLAMATORIA CON OXIGENOTERAPIA HIPERBÁRICA EN PACIENTES DIABÉTICOS CON INFECCIONES DE TEJIDOS BLANDOS","Instituto Mexicano del Seguro Social","Joaquín González Ibarra",Candidato,"Enfermedades crónicas o degenerativas"
"Análisis estructural y funcional del repertorio de linfocitos B y T en respuesta a la vacunación y a la infección natural por virus de Influenza estacional y pandémica","Instituto Nacional de Salud Pública","Jesus Martínez Barnetche",1,"Enfermedades Infecciosas y Parasitarias"
"Betaglicano soluble recombinante humano, un inhibidor terapéutico del TGF-beta.","Universidad Nacional Autónoma de México","Fernando López Casillas",3,"Enfermedades Infecciosas y Parasitarias"
"Identificación de biomarcadores de adenocarcinoma pulmonar en el proteoma de saliva","Instituto Nacional de Medicina Genómica","Gabriela Elisa Mercado Celis",1,"Neoplasias Malignas"
"Riesgos a la salud por degradación y contaminación ambiental en las cuencas hidrográficas de México","Instituto Nacional de Salud Pública","Horacio Riojas Rodríguez",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"EFECTO EN EL VACIAMIENTO GASTRICO POSTERIOR A FUNDUPLICATURA TIPO NISSEN CON VAGOTOMIA POSTERIOR Y SERIOMIOTOMIA ANTERIOR EN RATAS","Centro Médico Nacional 20 de Noviembre","Takeshi Landero Yoshioka",,"Neoplasias Malignas"
"ULTRASONIDO CUANTITATIVO PARA EVALUAR EL IMPACTO DE LA INACTIVIDAD FÍSICA SOBRE LOS COMPARTIMENTOS GRASO, MUSCULAR, ÓSEO Y FUNCIONALIDAD EN PACIENTES PEDIÁTRICOS CON HEMOFILIA Y NIÑOS SANOS","Instituto Mexicano del Seguro Social","Jose Alberto Tlacuilo Parra",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"ANÁLISIS DE COSTO-EFECTIVIDAD DE UN MODELO DE INTERVENCIÓN MÚLTIPLE PARA EL DIAGNÓSTICO Y TRATAMIENTO DE LA NEFROPATÍA TEMPRANA EN PACIENTES CON DIABETES MELLITUS TIPO 2","Instituto Mexicano del Seguro Social","Laura Cortés Sanabria",1,"Enfermedades crónicas o degenerativas"
"NUEVAS  ESTRATEGIAS PARA LA BUSQUEDA DE MARCADORES MOLECULARES PARA EL DIAGNOSTICO DE LA ENFERMEDAD DE ALZHEIMER Y LA ATENCION A LAS FAMILIAS AFECTADAS","Centro de Investigación y de Estudios Avanzados del IPN","Benjamin Floran Garduño",2,"Trastornos Psiquiátricos o Neurológicos"
"EVALUACIÓN DEL EFECTO UN MODELO DE INTERVENCION MÚLTIPLE EN PACIENTES CON DIABETES MELLITUS TIPO 2 Y NEFROPATÍA TEMPRANA SOBRE LA PROGRESIÓN DE LA INSUFICIENCIA RENAL CRÓNICA","Instituto Mexicano del Seguro Social","Laura Cortés Sanabria",1,"Enfermedades crónicas o degenerativas"
"¿FRECUENCIA DE CELULAS NKT Y SU EXPRESION GENICA EN PACIENTES PEDIATRICOS CON DIABETES TIPO 1.¿","Instituto Mexicano del Seguro Social","Rita Angelica Gómez Díaz",1,"Enfermedades crónicas o degenerativas"
"DIAGNÓSTICO Y CARACTERIZACIÓN MOLECULAR DE Acinetobacter baumannii PRODUCTOR DE ß-LACTAMASAS CLASE D, COMO EL AGENTE CAUSAL DE  INFECCIONES NOSOCOMIALES  EN HOSPITALES DE TERCER NIVEL; UNA ESTRATEGIA PARA IMPLEMENTAR  TRATAMIENTO EFECTIVO.","Universidad Autónoma de San Luis Potosí","Perla del Carmen Niño Moreno",1,"Enfermedades Infecciosas y Parasitarias"
"Evaluación del perfil de microRNAs en sangre periférica de  pacientes con neumonía grave asociada a la  infección por el virus A/H1N1.","Instituto Nacional de Enfermedades Respiratorias","Gustavo Ramírez Martínez",Candidato,"Enfermedades Infecciosas y Parasitarias"
"Escaneo genómico completo del paciente con diabetes tipo 2 para la búsqueda de nuevos marcadores de asociación con la enfermedad","Instituto Mexicano del Seguro Social","Adan Valladares Salgado",1,"Factores genéticos y ambientales que modifican el riesgo de desarrollar diabetes y obesidad en poblaciones."
"Polimorfismos de los genes de la adiponutrina, apolipoproteína C3 y lipasa hepática y su asociación con comorbilidades de la obesidad en población Mexicana","Instituto Nacional de Cardiología ""Ignacio Chávez""","Carlos Posadas Romero",2,"Estudio de la interacción entre los genes y el ambiente en el desarrollo de la diabetes y obesidad."
"Caracterización de la actividad de péptidos de amaranto sobre la diferenciación adipocítica y la actividad inhibitoria de la DPPIV","Instituto Potosino de Investigación Científica y Tecnológica","Ana Paulina Barba De la Rosa",2,"Desarrollo de nuevos tratamientos de la diabetes y obesidad y sus complicaciones."
"Desarrollo de nuevos fitofármacos para el tratamiento de la diabetes a partir de las especies medicinales Artemisia mexicana, Brickellia cavanillesii, Anoda cristata y Hintonia standleyana.","Universidad Nacional Autónoma de México","Rachel Mata Essayag",3,"Desarrollo de nuevos tratamientos de la diabetes y obesidad y sus complicaciones."
"Control optogenético del apetito: caracterización de una nueva terapia alternativa para controlar la obesidad","Centro de Investigación y de Estudios Avanzados del IPN","Ranier Gutiérrez Mendoza",1,"Desarrollo de nuevos tratamientos de la diabetes y obesidad y sus complicaciones."
"LA SUPLEMENTACIÓN CON VITAMINAS Y MINERALES REDUCE LA  DEPOSICIÓN DE GRASA EN EL ORGANISMO Y LA OBESIDAD EN MUJERES ADULTAS.","Universidad Autónoma de Querétaro","Jorge Luis Rosado Loria",3,"Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones."
"Estudio  a Nivel Celular y Molecular de la  Disfunción Miocardica Asociada con el Síndrome Metabólico y Obesidad: Implicación de la Inflamación, Resistencia a la Insulina y  Señalización Metabólica","Instituto Nacional de Pediatria","Karla Guadalupe Carvajal Aguilera",1,"Estudio de la interacción entre los genes y el ambiente en el desarrollo de la diabetes y obesidad."
"Caracterización de los factores genéticos y medioambientales determinantes  en la incidencia de diabetes y obesidad en población mexicana. Comparación con diversas poblaciones europeas usando asociación del genoma completo (genome wide scan association).","Instituto Nacional de Salud Pública","Clicerio González Villalpando",3,"Estudio de la interacción entre los genes y el ambiente en el desarrollo de la diabetes y obesidad."
"Eficacia de Sacbe para disminuir índice de masa corporal y mejorar parámetros metabólicos de niños/adolescentes con sobrepeso/obesidad y otros factores de riesgo para desarrollar diabetes tipo 2","Instituto Nacional de Perinatología","Ana Lilia Rodríguez Ventura",1,"Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones."
"BUSQUEDA DE FACTORES GENÉTICOS QUE CONFIERAN RIESGO EN EL DESARROLLO DE LA FALTA DE RESPUESTA A HIPOGLUCEMIANTES ORALES MEDIANTE LA CARACTERIZACIÓN DE FAMILIAS CON DIABETES EN UNA POBLACIÓN DE YUCATÁN, MÉXICO.","Universidad Autónoma de Yucatán","María Guadalupe García Escalante",,"Factores genéticos y ambientales que modifican el riesgo de desarrollar diabetes y obesidad en poblaciones."
"INFLUENCIA DE LAS COMPLICACIONES SENSORIALES  DE LA DIABETES MELLITUS TIPO 2 Y DE LA OBESIDAD EN LA OCURRENCIA DE CAIDA Y EN LA ESTABILIDAD CORPORAL","Instituto Mexicano del Seguro Social","Kathrine Jáuregui Renaud",2,"Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones."
"EFECTIVIDAD DEL TRATAMIENTO MÉDICO NUTRICIO MÁS METFORMINA TRANSGESTACIONAL VS SOLO TRATAMIENTO MÉDICO NUTRICIO, PARA DISMINUIR LA INCIDENCIA  DE DIABETES MELLITUS GESTACIONAL EN EMBARAZADAS CON SÍNDROME DE OVARIOS POLIQUÍSTICOS U OBESIDAD","Instituto Nacional de Perinatología","Enrique Reyes Muñoz",Candidato,"Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones."
"Biomarcadores de falla temprana de las células beta en sujetos con Diabetes Mellitus tipo 2 y sujetos con prediabetes.","Instituto Mexicano del Seguro Social","Eulalia Piedad Garrido Magana",,"Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones."
"CREACIÓN DE UNA CÓRNEA HUMANA A PARTIR DE CÉLULAS TRONCALES DE MEMBRANA AMNIÓTICA","Fundación de Asistencia Privada Conde de Valenciana","Yonathan Omar Gárfias Becerra",1,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
"DETERMINANTES AMBIENTALES DE LA OBESIDAD INFANTIL y  POLITICAS PUBLICAS EN MEXICO","Instituto Nacional de Salud Pública","Stephen Joel Rothenberg Lorenz",3,"Trastornos de la Nutrición"
"Inmunoreactividad de biomarcadores en la patogenia de la enfermedad asmática exasperada por aspirina","Instituto Nacional de Enfermedades Respiratorias","Juan Raymundo Velázquez Rodríguez",2,"Enfermedades crónicas o degenerativas"
"Estudio del perfil de expresión de miRNAs en macrófagos infectados con Mycobacterium tuberculosis","Universidad Autónoma de la Ciudad de México","Mauricio Castañón Arreola",1,"Enfermedades infecciosas y parasitarias"
"Evaluación de marcadores moleculares de la vía de señalización Notch para el _x000D_
diagnóstico y tratamiento de cáncer cervicouterino.","Instituto Potosino de Investigación Científica y Tecnológica","Martha Leticia Santos Martínez",1,"Neoplasias malignas"
"OBTENCIÓN, MANTENIMIENTO Y OPTIMIZACIÓN DEL PROCESO DE DIFERENCIACIÓN DE CÉLULAS PLURIPOTENTES INDUCIDAS HUMANAS (iPSCs) HACIA FENOTIPOS PROGENITORES RETINALES","Centro de Investigación y de Estudios Avanzados del IPN","Mónica Lamas Gregori",2,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
"diseño y aplicación de un sistema duplex en tiempo real para la detección rápida  de bocavirus y adenovirus en muestras de exudado faríngeo","Hospital Infantil de México Federico Gómez","José Arellano Galindo",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"MEJORAMIENTO DE LA PRODUCCIÓN DEL  SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JOVENES Y ADULTAS DE LOS GENEROS  C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México","J Francisco Reta Mares",,"Desarrollo de Tecnologías para la Salud"
"Estudio de los alelos de HLA clase II y su asociación con la persistencia de la infección por virus del papiloma humano y el desarrollo de lesiones premalignas de cérvix.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Julio Granados Arriola",3,"Neoplasias malignas"
"DISEÑO DEL TRATAMIENTO DE DIABETES MEDIANTE LA REGULACIÓN ENZIMÁTICA DE LA CONCENTRACIÓN DE GLUCOSA A NIVEL DE TRACTO DIGESTIVO","Universidad Autónoma de Coahuila","Anna Dmitrievna Ilina Varfolomeeva",,"Enfermedades crónicas o degenerativas"
"ANÁLISIS DE LAS MUTACIONES EN EL GEN LRBA (LYPOPOLISACHARIDE RESPONSIVE AND BEIGE-LIKE ANCHOR) EN INMUNODEFICIENCIA COMÚN VARIABLE (ICV)","Instituto Nacional de Pediatria","Gabriela López Herrera",1,"Grupos Vulnerables"
"Desarrollo de calzado con características biomecánicas para  mejorar la movilidad en pacientes usuarios de férulas de tobillo-pie","Centro de Investigación Aplicada en Tecnologías Competitivas","Alejandra Alicia Silva Moreno",1,"Desarrollo de Tecnologías para la Salud"
"Caracterización de patrones de movilidad de los casos de dengue de una población endémica urbana del estado de Morelos, México.","Instituto Nacional de Salud Pública","Jose Ramos Castañeda",2,"Enfermedades infecciosas y parasitarias"
"Identificación de secuencias para optimizar la expresión de moléculas exógenas inhibidoras de la replicación del Virus Dengue en el vector Aedes aegypti","Instituto Nacional de Salud Pública","Bertha Veronica Valverde Garduño",1,"Enfermedades infecciosas y parasitarias"
"Análisis Integral de riesgo para la transmisión de la enfermedad de Chagas en México.","Instituto Nacional de Salud Pública","Janine Madeleine Ramsey Willoquet",2,"Enfermedades infecciosas y parasitarias"
"Identificación de inhibidores de la enzima PDI humana con potencial de bloquear sus actividades oxidorreductora y chaperona","Universidad Autónoma de Baja California","Marco Antonio Ramos Ibarra",1,"Desarrollo de Tecnologías para la Salud"
"CASAS Y ESCUELAS A PRUEBA DE Aedes aegypti PARA  MAXIMIZAR EL CONTROL Y LA PREVENCIÓN DEL DENGUE EN AREAS DE RIESGO EN YUCATAN","Universidad Autónoma de Yucatán","Pablo Camilo Manrique Saide",1,"Enfermedades infecciosas y parasitarias"
"EVALUACION DE MARCADORES GENETICOS, ESTRÉS OXIDATIVO Y GENOTOXICIDAD EN MUJERES CON PREECLAMPISA EXPUESTAS A ARSENICO DEL ESTADO DE DURANGO","Universidad Juárez del Estado de Durango","Jose Manuel Salas Pacheco",2,"Salud Reproductiva y Perinatal"
"Identificación de biomarcadores asociados a infecciones severas por virus sincicial respiratorio","Universidad Autónoma de San Luis Potosí","Daniel Ernesto Noyola Cherpitel",2,"Enfermedades infecciosas y parasitarias"
"Estudio de las variantes alélicas  del gen de la paraoxonasa 1 (PON 1) y de los valores de homocisteína, colesterol y lipoproteínas en la preeclampsia.","Universidad Autónoma de Yucatán","Thelma Elena Canto Cetina",1,"Salud Reproductiva y Perinatal"
"Contribución de variaciones de los genes LMF1, GPIHBP1 y APO AV  en la génesis de la quilomicronemia","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Ivette Cruz Bautista",1,"Enfermedades crónicas o degenerativas"
"Caracterización clínica, neuropsicológica y de la actividad eléctrica en adultos con daño cerebral secundario a Traumatismo Craneoencefálico ó a un evento  Cerebro-Vascular; procedimientos diagnósticos y neurorehabilitación integral.","Instituto Nacional de Rehabilitación","Héctor Brust Carmona",,"Accidentes y Violencia"
"VALOR DE LA PROLACTINA Y DE LAS VASOINHIBINAS COMO FACTORES PRONOSTICOS Y TERAPEUTICOS DE LA RETINOPATIA DIABETICA","Universidad Nacional Autónoma de México","María del Carmen Clapp Jiménez Labora",3,"Enfermedades crónicas o degenerativas"
"DETERMINACIÓN DE LA FRECUENCIA DE LAS CÉLULAS SUPRESORAS DE ORIGEN MIELOIDE Y SU POSIBLE UTILIDAD COMO BIOMARCADOR PRONÓSTICO EN CÁNCER PULMONAR","Instituto Nacional de Enfermedades Respiratorias","Lourdes Maria Barrera Ramírez",1,"Neoplasias malignas"
"Optimización de la técnica de PCR  punto final para la diferenciación  entre  Leishmania mexicana y L. braziliensis en improntas de sujetos  infectados.","Universidad Autónoma de Campeche","Victor Manuel Monteón Padilla",2,"Enfermedades infecciosas y parasitarias"
"Eficacia y adherencia de dos intervenciones para el control de peso en mujeres con obesidad mórbida","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Martha Kaufer Horwitz",1,"Trastornos de la Nutrición"
"Genoma del Cáncer de Páncreas","Instituto Nacional de Medicina Genómica","Jorge Meléndez Zajgla",2,"Neoplasias malignas"
"DESARROLLO DE UN MODELO DE CRIOPRESERVACIÓN DE ALOINJERTOS HUMANOS CON FINES DE TRASPLANTE: ESTUDIO MULTICÉNTRICO PARA EVALAUAR LA  SEGURIDAD Y ESTABILIDAD BIOLÓGICA.","Instituto Nacional de Rehabilitación","Francisco Martínez Flores",,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
"EFECTO DE LA ADMINISTRACIÓN  ENTERAL DE ÁCIDO DOCOSAHEXAENOICO SOBRE CITOCINAS, TOLERANCIA ENTERAL, VELOCIDAD DE CRECIMIENTO, ENTEROCOLITIS NECROSANTE Y ESTANCIA HOSPITALARIA EN NEONATOS PRETÉRMINO","Instituto Mexicano del Seguro Social","Mariela Bernabé García",1,"Salud Reproductiva y Perinatal"
"Biomarcadores diagnósticos para tuberculosis humana en sangre","Instituto Mexicano del Seguro Social","Carmen Judith Serrano Escobedo",1,"Enfermedades infecciosas y parasitarias"
"Significado pronóstico de la presencia de Virus de Papiloma Humano en ganglios linfáticos en pacientes con cáncer cervicouterino tratados inicialmente con cirugía radical: estudio de casos y controles.","Instituto Nacional de Cancerología","María Delia Pérez Montiel Gómez",1,"Neoplasias malignas"
"Implementación de un modelo intercultural de atención a la salud para adultos mayores tarahumaras","Instituto Nacional de Salud Pública","Blanca Estela Pelcastre Villafuerte",1,"Grupos Vulnerables"
"Desarrollo de un sustituto biológico de piel para el tratamiento de quemaduras mediante técnicas de ingeniería de tejidos.","Instituto Nacional de Rehabilitación","María Cristina Velasquillo Martínez",1,"Desarrollo de Tecnologías para la Salud"
"El Gen AKNA Como Biomarcador Asociado a Cáncer Cervicouterino:  caracterización In Vivo e In Vitro","Instituto Nacional de Salud Pública","Vicente Madrid Marina",3,"Neoplasias malignas"
"Desarrollo de un modelo predictivo de cuadros hemorrágicos debidos al virus del dengue basado en el análisis de polimorfismos de nucleótidos únicos presentes en el promotor de DC-SIGN y TNF-alfa y en la secuenciación completa del gen E viral.","Universidad Nacional Autónoma de México","Salvador Fonseca Coronado",1,"Enfermedades infecciosas y parasitarias"
"FILTRADO CELULAR PARA LA SELECCIÓN DE ESPERMATOZOIDES NO APOPTÓTICOS DE PACIENTES CON INFERTILIDAD.","Instituto Nacional de Perinatología","Gabriel Arteaga Troncoso",1,"Desarrollo de Tecnologías para la Salud"
"Evaluación e inducción de la respuesta inmune innata en pacientes geriátricos","Instituto Mexicano del Seguro Social","Bruno Tonatiuh Rivas Santiago",1,"Grupos Vulnerables"
"Relación entre los niveles de PUFA y antioxidantes en leche materna de cuatro localidades expuestas a distintos niveles de contaminación química","Centro de Investigaciones Biológicas del Noroeste","Elena Palacios Mechetnov",2,"Medio Ambiente y Salud"
"EVALUACIÓN DE LOS ANTICUERPOS ANTI-PADI4 COMO UN NUEVO MARCADOR SEROLÓGICO EN LA VALORACIÓN CLÍNICA EN ARTRITIS REUMATOIDE Y SU CORRELACIÓN CON HAPLOTIPOS FUNCIONALES, EXPRESIÓN ALÉLICA Y ACTIVIDAD ENZIMÁTICA DE PADI4.","Universidad de Guadalajara","Jose Francisco Muñoz Valle",3,"Enfermedades crónicas o degenerativas"
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .","Instituto Nacional de Salud Pública","Martín Lajous Loaeza",1,"Enfermedades crónicas o degenerativas"
"Transferencia a la clínica del sistema de fabricación de asientos conformados para niños con discapacidad","Universidad Iberoamericana","Jorge Ernesto Letechipia Moreno",,"Desarrollo de Tecnologías para la Salud"
"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Marta Margarita Durand Carbajal",1,"Desarrollo de Tecnologías para la Salud"
"Impacto de la utilización de ácidos grasos poli insaturados de cadena larga omega-3 en la pérdida de peso y resistencia a la insulina de adolescentes obesos","Instituto Mexicano del Seguro Social","Mardia Guadalupe López Alarcón",2,"Trastornos de la Nutrición"
"Diagnóstico diferencial en un solo paso de enfermedades febriles distintas a dengue.","Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco","Darwin Eduardo Elizondo Quiroga",1,"Enfermedades infecciosas y parasitarias"
"EFICACIA DE INICIADORES PARA LA DETECCIÓN DE DIFERENTES REGIONES DEL VIRUS DE LA HEPATITIS B EN PACIENTES Y DONADORES DE SANGRE REACTIVOS A ANTI-CORE Y AgVHBs NO DETECTABLE.","Instituto Mexicano del Seguro Social","Francisca Sosa Jurado",1,"Enfermedades infecciosas y parasitarias"
"Evaluación de la exposición a manganeso y sus efectos en salud en la población  residente de un distrito minero en Hidalgo, a partir de la implementación de medidas de control en las fuentes de emisión.","Instituto Nacional de Salud Pública","Marlene Cortéz Lugo",1,"Medio Ambiente y Salud"
"CARACTERIZACIÓN GENOTÌPICA Y FENOTÌPICA DE Coccidioides EN POBLACIÓN MEXICANA Y SU RELACIÓN CON FORMAS PARASITARIAS","Instituto Nacional de Enfermedades Respiratorias","Carlos Cabello Gutiérrez",Candidato,"Enfermedades crónicas o degenerativas"
"Propuesta de un Modelo Sociocultural para Prevenir las Muertes Maternas","Instituto Nacional de Perinatología","Mayra Lilia Chávez Courtois",,"Salud Reproductiva y Perinatal"
"ANÁLISIS DE VARIANTES ALELICAS DE LOS GENES eNOS,  APLN,  APLNR,  MTHFR/CLCN6 Y CAMBIOS EPIGENÉTICOS EN LA REGION PROMOTORA DE LOS GENES MTHFR/CLCN6 ASOCIADOS AL DESARROLLO DE  HIPERTENSIÓN ARTERIAL ESENCIAL","Centro Médico Nacional 20 de Noviembre","Juan Carlos Pérez Razo",,"Enfermedades crónicas o degenerativas"
"Desarrollo preclínico del ribavirin como inhibidor multiblanco (multitargeted) de EZH2, eIF4E e IMPDH2 en neoplasias malignas.","Instituto Nacional de Cancerología","Alfonso Dueñas González",3,"Neoplasias malignas"
"Determinantes y Factores de Pronóstico de Enfermedad Hepática Crónica en una Cohorte de Trabajadores de la Salud: Un Estudio Longitudinal","Instituto Mexicano del Seguro Social","Ivonne Nicole Flores Leonard",1,"Enfermedades crónicas o degenerativas"
"Diseño de un sistema de detección rápido, eficiente y portátil de dengue por medio de técnicas de Ingeniería Genética y Nanotecnología.","Universidad de Monterrey","Roman Vidal Tamayo Ramírez",1,"Enfermedades infecciosas y parasitarias"
"IMPLICACIONES DE LAS VARIACIONES EN EL NÚMERO DE COPIAS DE GENES TLRs EN LA SUSCEPTIBILIDAD Y GRAVEDAD DEL ASMA","Instituto Nacional de Medicina Genómica","Silvia Jiménez Morales",1,"Enfermedades crónicas o degenerativas"
"Diagnóstico molecular rápido y preciso de las especies de Candida más comunes en infecciones hospitalarias: Candida tropicalis, Candida parapsilosis y Candida albicans.","Instituto Potosino de Investigación Científica y Tecnológica","Irene Beatríz Castaño Navarro",2,"Desarrollo de Tecnologías para la Salud"
"Desarrollo y validación de un inmunoensayo para la cuantificación de productos finales de glicosilación avanzada: evaluación de su valor diagnóstico para predecir las complicaciones crónicas de la Diabetes Mellitus.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Eulises Díaz Díaz",1,"Enfermedades crónicas o degenerativas"
"Búsqueda de daño cromosómico estructural en espermatozoides de pacientes con linfoma de Hodgkin que fueron tratados con MOPP y ABVD, por medio de FISH multicolor: ensayo AM8.","Instituto Nacional de Pediatria","Bertha Molina Álvarez",1,"Neoplasias malignas"
"DIFERENCIACIÓN DE GONOCITOS EN NIÑOS CON CRIPTORQUIDIA, Y SU ASOCIACIÓN CON EL CARCINOMA ""IN SITU""  TESTICULAR","Instituto Nacional de Pediatria","Julio César Rojas Castañeda",1,"Neoplasias malignas"
"Biomarcadores séricos y de Lavado Bronquio-alveolar en el diagnóstico diferencial y  pronóstico para la Fibrosis Pulmonar Idiopática","Instituto Nacional de Enfermedades Respiratorias","Victor Manuel Ruíz López",1,"Enfermedades crónicas o degenerativas"
"SEROLOGÍA DEL CÁNCER DUCTAL DE LA MAMA EN MUJERES MEXICANAS","Universidad Nacional Autónoma de México","Edmundo de Ibis Lamoyi Velázquez",1,"Neoplasias malignas"
