TITULO DEL PROYECTO,INSTITUCION,RESPONSABLE,NIVEL,DEMANDA
ASOCIACIÓN DE LA PROTEÍNA DE UNIÓN DEL RETINOL Y SUS POLIMORFISMOS CON LA RESISTENCIA A LA INSULINA EN LA DIABETES GESTACIONAL,Instituto Mexicano del Seguro Social,Renata Saucedo García,1,Enfermedades crónicas o degenerativas
Mujeres Compañeras de Migrantes y Vulnerabilidad a ITS/VIH/SIDA,Instituto Nacional de Salud Pública,René Leyva Flores,2,Enfermedades Infecciosas y Parasitarias
DESARROLLO E IMPLEMENTACIÓN DE HERRAMIENTAS COMPUTACIONALES (TÉCNICAS DE INTELIGENCIA ARTIFICIAL) PARA APOYO EN EL DIAGNÓSTICO TEMPRANO DE CÁNCER DE MAMA,Instituto Tecnológico de Toluca,Ricardo Barandela Alonso,,Neoplasias malignas
SISTEMA INDIVIDUALIZADO DE MONITOREO EVALUACIÓN Y MEJORA DE LA ATENCIÓN EN UNIDADES DE MEDICINA FAMILIAR,Instituto Mexicano del Seguro Social,Ricardo Enrique Pérez Cuevas,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
evaluación de un modelo de atención para pacientes con diabetes mellitus tipo 2 e hipertensión arterial con la participación de enfermeras de atención primaria,Instituto Mexicano del Seguro Social,Ricardo Enrique Pérez Cuevas,1,Evaluación del Desempeño e Impacto de los Servicios de Salud
DISEÑO Y EVALUACIÓN DE UN MODELO DE ATENCIÓN SOCIAL A LA SALUD DE LOS/LAS ADULTOS/AS MAYORES DERECHOHABIENTES DEL IMSS,Instituto Mexicano del Seguro Social,Ricardo Enrique Pérez Cuevas,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
IDENTIFICACIÓN DE MARCADORES GENÉTICOS DE LA PATOGÉNESIS DEL DENGUE MEDIANTE EL ANÁLISIS DE LA EXPRESIÓN DIFERENCIAL DE GENES EN CULTIVOS PRIMARIOS DE LINFOCITOS T HUMANOS.,Universidad Autónoma De Querétaro,RICARDO FRANCISCO MERCADO CURIEL,Candidato,Enfermedades infecciosas y parasitarias
EFECTO ANTIMICROBIANO DEL BARNIZ DE CLORHEXIDINA AL 1% EN EL CONTROL DE LA CARIES DE BIBERÓN,Universidad Autónoma De Baja California,Ricardo Manuel Sánchez Rubio Carrillo,,Padecimientos Estomatológicos
CARACTERIZACIÓN DE CEPAS DE E. COLI UROPATOGENAS DE MUJERES EMBARAZADAS CON INFECCIÓN URINARIA CRÓNICA: BASES MOLECULARES DE RESISTENCIA ANTIMICROBIANA E INVASIVIDAD,"Hospital General ""Dr. Manuel Gea González""",Rigoberto Hernández Castro,1,Salud Reproductiva y Perinatal
FRECUENCIA DE CÉLULAS NKT Y SU EXPRESIÓN GÉNICA EN PACIENTES PEDIÁTRICOS CON DIABETES TIPO 1.,Instituto Mexicano del Seguro Social,Rita Angelica Gómez Díaz,1,Enfermedades crónicas o degenerativas
GROSOR ÍNTIMA-MEDIA DE LA CARÓTIDA EN PACIENTES CON DIABETES TIPO 2 DIAGNOSTICADA ANTES DE LOS 40 AÑOS,Instituto Mexicano del Seguro Social,Rita Angelica Gómez Díaz,1,Enfermedades crónicas o degenerativas
DESARROLLO DE MODELO DE FORMACIÓN TORACOSCÓPICA PARA ATRESIA ESOFÁGICA TIPO III EN CONEJO,Universidad Autónoma De Ciudad Juárez,RIVERA BARRENO RAMON,1,Salud Reproductiva y Perinatal
Alteraciones en la acumulación nuclear de la ARN polimerasa II dependiente de las proteínas Gpn en el Cáncer de mama.,Universidad Autónoma De San Luis Potosí,ROBERTO SÁNCHEZ OLEA,2,Neoplasias malignas
DETECCIÓN RÁPIDA DE DROGORESISTENCIA DE TUBERCULOSIS POR PCR EN TIEMPO REAL.,Universidad Veracruzana,Roberto Zenteno Cuevas,1,Enfermedades del rezago y emergentes
"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11.","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",ROBLES GARCÍA REBECA,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
"Conducta de búsqueda y TDAH, un modelo para el estudio clínico del TDAH y el análisis de las funciones ejecutivas.","Universidad Nacional Autónoma De México, UNAM",Robyn Elizabeth Hudson,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
"evaluación de la exposición a plaguicidas utilizando una prueba tamiz, en mujeres embarazadas y sus recién nacidos, para la detección temprana de un factor de riesgo para la salud.",Instituto Nacional de Pediatría,Rocío Aidee Castillo Cruz,,Salud Reproductiva y Perinatal
EFECTOS ANTIHIPERPLASICOS DEL YODO MOLECULAR (I2) EN PACIENTES CON HIPERPLASIA PROSTÁTICA BENIGNA,"Universidad Nacional Autónoma De México, UNAM",Rocio Brenda Anguiano Serrano,1,Neoplasias Malignas
EVALUACIÓN DE COMPUESTOS OBTENIDOS DE LA FLORA NATIVA DE LA REGIÓN SUR-SURESTE DE MÉXICO CON POTENCIAL ACTIVIDAD ANTIVIRAL CONTRA EL VIRUS DE INFLUENZA AH1N1,Centro de Investigación Científica de Yucatán,Rocío de Lourdes Borges Argáez,1,Influenza
"FORMULACIÓN DE VACUNA ANTIPOLIOMIELÍTICA ORAL MONOVALENTE TIPO 1, 2 Y 3.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",Rocío del Carmen Cervantes Rosales,,Desarrollo y Evaluación de Tecnologías para la Salud
Identificación y selección de micrornas en suero que permiten el diagnóstico y clasificación del Cáncer de Cervix,Universidad Autónoma De Nuevo León,Rocio Ortíz López,2,Neoplasias Malignas
"Perfiles de expresión y metilación en pacientes con Cáncer de mama triple negativo, y su asociación con la respuesta favorable/desfavorales al tratamiento (quimioterapia).",Universidad Autónoma De Nuevo León,Rocio Ortíz López,2,Neoplasias malignas
Búsqueda de marcadores para el monitoreo de la Enfermedad Residual Mínima en pacientes con Leucemia Linfoblástica Aguda,Universidad Autónoma De Nuevo León,Rocio Ortíz López,2,Neoplasias malignas
CARACTERIZACIÓN GENÓMICA ESPECÍFICO-CUALITATIVA Y CUANTITATIVA DE TRANSLOCACIONES RECURRENTES ASOCIADAS A SÍNDROMES LINFOPROLIFERATIVOS.,Universidad Autónoma De Nuevo León,Rocio Ortíz López,2,Desarrollo y Evaluación de Tecnologías para la Salud
BÚSQUEDA E IDENTIFICACIÓN DE BIOMARCADORES DE CÁNCER DE MAMA Y DESARROLLO DE UN CHIP (PROTOTIPO) PARA EL DIAGNÓSTICO TEMPRANO,"Centro de Investigación y Asistencia en Tecnología y Diseño Del Estado de Jalisco, A.C. (CIATEJ)",Rodolfo Hernández Gutiérrez,1,Neoplasias Malignas
OBTENCIÓN DE UN BIOMATERIAL COMPUESTO ORGÁNICO-INORGANICO CON POROSIDAD CONTROLADA PARA SU APLICACIÓN EN MEDICINA.,Universidad Autónoma De Querétaro,RODRIGO RAFAEL VELAZQUEZ CASTILLO,2,Desarrollo y Evaluación de Tecnologías para la Salud
E-SALUD: APLICACIÓN DE LAS NUEVAS TECNOLOGÍAS DEL INTERNET Y LA INFORMÁTICA A UNA JURISDICCIÓN SANITARIA TIPO EN SAN LUIS POTOSI.,Servicios De Salud De San Luis Potosí,Rodrigo Ramos Zúñiga,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
Sindrome de desgaste profesional en trabajadores del primer nivel de atención a la salud factores de riesgo y su influencia en el desempeño institucional.,Servicios De Salud De San Luis Potosí,Rodrigo Ramos Zúñiga,1,Salud Ocupacional
"EVALUACIÓN DEL IMPACTO DE GENES DEL METABOLISMO DE XENOBIÓTICOS (CYP1A1, CYP1B1, CYP2C19, CYP2D6, CYP17 Y CYP19) SOBRE EL CÁNCER DE MAMA EN MÉXICO",Universidad Autónoma De Yucatán,RODRIGO RUBI CASTELLANOS,1,Neoplasias malignas
Caracterización del transcriptoma y proteoma de leucocitos placentarios durante el trabajo de parto humano.,Instituto Nacional de Perinatología,Rodrigo Vega Sánchez,Candidato,Salud Reproductiva y Perinatal
"evaluación entomo-epidemiológica de un biocontrol del dengue: Liberaciones de machos de Aedes aegypti para diseminar vía cópula, conidias de Metarhizium anisopliae a las hembras y reducir sus poblaciones y transmisión viral en Reynosa, Tamaulipas.","Instituto Politécnico Nacional, I.P.N.",RODRÍGUEZ PÉREZ MARIO ALBERTO,2,Enfermedades Infecciosas y Parasitarias
Descripción de las vías que estimulan el perfil Th17 en la Esclerosis Sistémica y su correlación con subtipos y etapas clínicas.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",RODRÍGUEZ REYNA TATIANA SOFIA,1,ENFERMEDADES CRÓNICAS
Determinación de endofenotipos y latencia de transición a psicosis en un modelo de detección temprana de esquizofrenia,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Rogelio Apiquián Guitart,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Eficiencia y dinámica de la transmisión vertical de virus dengue en focos persistentes en México.,Instituto Nacional de Salud Pública,Rogelio Danis Lozano,1,Enfermedades Infecciosas y Parasitarias
MODELO ANALÍTICO DE REDES DE LOCALIDADES Y LA INTERDEPENDENCIA FACTORIAL EN LA TRANSMISIÓN DEL DENGUE UN INSTRUMENTO PARA UNA ESTRATEGIA PARA EL CONTROL,Instituto Nacional de Salud Pública,Rogelio Danis Lozano,1,Enfermedades Infecciosas y Parasitarias
"CARACTERIZACIÓN ESPACIAL DE LOS PATRONES DE TRANSMISIÓN DE SEROTIPOS VIRUS DENGUE EN ÁREAS HIPERENDEMICAS DEL SOCONUSCO, CHIAPAS.",Instituto Nacional de Salud Pública,Rogelio Danis Lozano,1,Enfermedades Infecciosas y Parasitarias
INGENIERÍA TISULAR PARA LA FORMACIÓN DE HUESO ÚTIL PARA AUTOTRANSPLANTE,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Rogelio Enrique Hernández Pando,3,Desarrollo y Evaluación de Tecnologías para la Salud
INMUNOTERAPIA GÉNICA PARA EL CONTROL DE LA TUBERCULOSIS PULMONAR,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Rogelio Enrique Hernández Pando,3,Enfermedades Infecciosas y Parasitarias
Impacto del síndrome metabólico en la génesis y progresión de la osteoartritis (OA) de rodillas en adultos jóvenes. Un estudio en la Población Mexicana.,Instituto Nacional de Rehabilitación,Rolando Espinosa Morales,,Enfermedades crónicas o degenerativas
"Diseño de un sistema de detección rápido, eficiente y portátil de dengue por medio de técnicas de Ingeniería Genética y Nanotecnología.",Universidad De Monterrey,Roman Vidal Tamayo Ramírez,1,Enfermedades infecciosas y parasitarias
Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.,Instituto Nacional de Medicina Genómica (INMEGEN),ROMERO HIDALGO SANDRA,1,ENFERMEDADES CRÓNICAS
IDENTIFICACIÓN DE POLIMORFISMOS DE NAT2 COMO MARCADORES GENÉTICOS Y SU ASOCIACIÓN CON LA FARMACOCINÉTICA DE ISONIACIDA Y SU METABOLITO. HACIA UNA ESTRATEGIA PARA LA INDIVIDUALIZACIÓN DE LA TERAPIA ANTIFÍMICA EN PACIENTES CON TUBERCULOSIS.,Universidad Autónoma De San Luis Potosí,Rosa del Carmen Milán Segovia,,Enfermedades infecciosas y parasitarias
PREVENCIÓN DE LA ANEMIA NUTRICIONAL EN LOS NIÑOS MENORES DE UN AÑO DE EDAD,Instituto Mexicano del Seguro Social,Rosa Isela Ramos Hernández,,Trastornos de la Nutrición
Desarrollo de un sistema de diagnóstico temprano para dengue e identificación de factores de riesgo de progresión a dengue hemorrágico,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Rosa María Del Ángel Núñez De Cáceres,3,Enfermedades Infecciosas y Parasitarias
ASOCIACIÓN DEL POLIMORFISMO C.-94C>G DEL GEN DELTA SARCOGLICANO EN PACIENTES CON CARDIOMIOPATÍA HIPERTRÓFICA: UN POTENCIAL MARCADOR GENÉTICO DE RIESGO,Instituto Mexicano del Seguro Social,Rosa Maria Ordóñez Razo,1,Desarrollo y Evaluación de Tecnologías para la Salud
ESTUDIO MOLECULAR DE LA CRIPTORQUIDIA IDIOPÁTICA _x000D__x000D_EN PACIENTES MEXICANOS,Instituto Nacional de Pediatría,Rosa Maria Vigueras Villaseñor,1,Salud Reproductiva y Perinatal
evaluación del efecto inmunomodulador de la suplementación con zinc en la evolución clínica de niños con neumonía,"Universidad Nacional Autónoma De México, UNAM",ROSA MARIA WONG CHEW,1,Apoyo a la investigación de problemas especificos de salud en las regiones del país
Validación de un nuevo método para el diagnóstico temprano de la tricomonosis.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Rossana Arroyo Verástegui,2,Desarrollo y Evaluación de Tecnologías para la Salud
UN NUEVO MÉTODO PARA EL DIAGNÓSTICO TEMPRANO DE LA TRICOMONOSIS,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Rossana Arroyo Verástegui,2,Enfermedades Infecciosas y Parasitarias
"DETERMINACIÓN DEL IMPACTO ECONÓMICO DE LAS ENFERMEDADES REUMÁTICAS. ESTUDIO MULTICÉNTRICO DE ENFERMOS CON ESPONDILITIS ANQUILOSANTE (EA), ARTRITIS REUMATOIDE (AR) Y GOTA","Hospital General ""Dr. Manuel Gea González""",Ruben Burgos Vargas,3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
DETERMINACIÓN DE FACTORES DE RIESGO PARA FALLA AL TRATAMIENTO CON FÁRMACOS MODIFICADORES DE LA ENFERMEDAD EN PACIENTES CON ARTRITIS REUMATOIDE DE INICIO RECIENTE. ESTUDIO DE CASOS Y TESTIGOS ANIDADO A UNA COHORTE,"Hospital General ""Dr. Manuel Gea González""",Ruben Burgos Vargas,3,Enfermedades crónicas o degenerativas
Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años,"Hospital General ""Dr. Manuel Gea González""",Ruben Burgos Vargas,3,Enfermedades crónicas o degenerativas
ESTUDIO DE LA INCIDENCIA Y EVOLUCIÓN DE LAS ESPONDILOARTRITIS EN LA POBLACIÓN GENERAL.,"Hospital General ""Dr. Manuel Gea González""",Ruben Burgos Vargas,3,Enfermedades crónicas o degenerativas
Desarrollo de métodos moleculares cuantitativos para estimar la progresión de las lesiones preneoplásicas y neoplásicas del cérvix,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",Ruben Hipolito López Revilla,2,Neoplasias Malignas
PURIFICACIÓN E IDENTIFICACIÓN MOLECULAR DE COMPUESTOS DE ORIGEN MARINO CON ACTIVIDAD ANTIMICROBIANA,Universidad Autónoma De Campeche,Ruth López Alcántara,1,Desarrollo y Evaluación de Tecnologías para la Salud
Impacto de las estrategias nutricional educativa y farmacologica en el paciente con diabetes mellitus tipo 2 y nefropatía diabetica en unidades del primer nivel de atención del IMSS,Instituto Mexicano del Seguro Social,Rutila Catañeda Limones,,Enfermedades crónicas o degenerativas
Factores Ambientales de la Diabetes: Disruptores endócrinos ambientales y el Riesgo de Desarrollo de Diabetes y Enfermedad Cardiovascular en Mujeres Mexicanas del Estudio EsMaestras,Instituto Nacional de Salud Pública,RUY LÓPEZ RIDAURA,1,ENFERMEDADES CRÓNICAS
DESARROLLO DE ELECTROCARDIOGRAFO INALÁMBRICO EN LA BANDA DE 2.4 GHZ PARA MÚLTIPLES PACIENTES,Centro De Ingeniería Y Desarrollo Industrial (Cidesi),Sadot Arciniega Montiel,,Desarrollo y Evaluación de Tecnologías para la Salud
MONITOR HOLTER PARA ESTUDIOS AMBULATORIOS PROLONGADOS CON CANALES PARA ELECTROENCEFALOGRAFÍA Y ELECTROCARDIOGRAFÍA,Centro De Ingeniería Y Desarrollo Industrial (Cidesi),Sadot Arciniega Montiel,,Desarrollo y Evaluación de Tecnologías para la Salud
UN GRUPO DE GENES ESPECÍFICOS DE EMBARAZO Y SU EXPRESIÓN PROTEÍCA PROVEE NUEVOS MARCADORES PARA EL CÁNCER CÉRVICO UTERINO.,Instituto Mexicano del Seguro Social,SALCEDO VARGAS MAURICIO,3,NEOPLASIAS MALIGNAS EN NIÑOS Y ADULTOS
Estudio de costos asociados a la fragilidad en adultos mayores en México,Instituto Nacional de Salud Pública,SALINAS RODRÍGUEZ AARÓN,1,INVESTIGACIÓN SOCIAL EN GRUPOS ESPECIALES
DESARROLLO DE TECNOLOGÍA PARA LA FABRICACIÓN DE TARTRATO DE TOLTERODINA,"Uquifa México, S.A. De C.V.",Salvador A. Ávila Quevedo,,Desarrollo y Evaluación de Tecnologías para la Salud
DESARROLLO DE TECNOLOGÍAS PARA LA FABRICACIÓN DE FARMOQUÍMICOS GENÉRICOS EN UQUIFA MÉXICO S. A. DE C. V. (TERCERA FASE),"Uquifa México, S.A. De C.V.",Salvador A. Ávila Quevedo,,Desarrollo y Evaluación de Tecnologías para la Salud
Aná¡lisis de la dinámica y evolución intrahospedero de las variantes virales resistentes a los fármacos de nueva generación contra el virus de la hepatitis C.,"Universidad Nacional Autónoma De México, UNAM",Salvador Fonseca Coronado,1,Enfermedades infecciosas y parasitarias
Desarrollo de un modelo predictivo de cuadros hemorrágicos debidos al virus del dengue basado en el análisis de polimorfismos de nucleótidos únicos presentes en el promotor de DC-SIGN y TNF-alfa y en la secuenciación completa del gen E viral.,"Universidad Nacional Autónoma De México, UNAM",Salvador Fonseca Coronado,1,Enfermedades infecciosas y parasitarias
EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS,Instituto Nacional de Salud Pública,Salvador Francisco Villalpando Hernández,3,Trastornos de la Nutrición
THE ABSORPTION OF IRON AND ZINC FROM TYPICAL RURAL AND URBAN MEXICAN DIETS USING ISOTOPIC TECHNIQUES,Instituto Nacional de Salud Pública,Salvador Francisco Villalpando Hernández,3,Enfermedades crónicas o degenerativas
CONTRIBUCIÓN DEL LOS PATRONES DE ALIMENTACIÓN DE ACTIVIDAD FÍSICA Y EL GASTO TOTAL DE ENERGÍA A LA GENESIS DE LA OBESIDAD DURANTE LA EDAD ESCOLAR.,Instituto Nacional de Salud Pública,Salvador Francisco Villalpando Hernández,3,Trastornos de la Nutrición
Estudio del metabolismo de óxido nítrico y su posible implicación en el manejo de esteatosis hepática en pacientes pediátricos con sobrepeso y obesidad,Hospital Infantil De México Federico Gómez,Salvador Villalpando Carrión,Candidato,Trastornos de la Nutrición
PARTICIPACIÓN DE LOS GENES DE LA HOMEOSTASIS DEL COLESTEROL EN LA PROGRESIÓN DE ESTEATOSIS A ESTEATOHEPATITIS NO ALCOHÓLICA EN SUJETOS OBESOS,"Universidad Nacional Autónoma De México, UNAM",SAMUEL CANIZALES QUINTEROS,2,Enfermedades crónicas o degenerativas
IDENTIFICACIÓN DE FACTORES DE SUSCEPTIBILIDAD GENÓMICA PARA EL DESARROLLO DE LA OBESIDAD Y RASGOS METABÓLICOS RELACIONADOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",SAMUEL CANIZALES QUINTEROS,2,Trastornos de la Nutrición
ESTUDIO DEL EFECTO DE LA VARIANTE R230C DEL GEN DEL TRANSPORTADOR DE COLESTEROL ABCA1 Y LA DIETA EN LA REGULACIÓNDEL PESO CORPORAL Y RASGOS METABÓLICOS ASOCIADOS A LA OBESIDAD Y LA DIABETES TIPO 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",SAMUEL CANIZALES QUINTEROS,2,Enfermedades crónicas o degenerativas
"Obesidad, sarcopenia y fragilidad en adultos mayores derechohabientes del IMSS de las Delegaciones Sur y Norte de la Ciudad de México",Instituto Mexicano del Seguro Social,SÁNCHEZ GARCÍA SERGIO,1,Trastornos de la Nutrición
Efectos en el perfil neurocognoscitivo de la exposición in utero a fármacos inmunosupresores en hijos de mujeres con trasplante renal.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",SÁNCHEZ ROMAN SOFIA,Candidato,Salud Reproductiva y Perinatal
Desarrollo de un programa de telefonía celular para mejorar la retención y adherencia de pacientes de VIH SIDA en la Ciudad de México,Instituto Nacional de Salud Pública,SANDRA GABRIELA SOSA RUBI,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
UNA INTERVENCIÓN INTEGRAL PARA LA DISMINUCIÓN DE ACCIDENTES VIALES EN JÓVENES EN DIFERENTES CIUDADES EN MÉXICO,Instituto Nacional de Salud Pública,Sandra Guadalupe Treviño Siller,1,Accidentes y Violencia
La participación de los jóvenes en la prevención de los accidentes de tráfico en la Ciudad de Cuernavaca: diseño y evaluación de una campaña informativa a partir de la investigación.,Instituto Nacional de Salud Pública,Sandra Guadalupe Treviño Siller,1,Accidentes y Violencia
Estudio de las moléculas IKBNS y Bcl-3 en la interrupción temprana del embarazo,"Instituto Politécnico Nacional, I.P.N.",Sandra Rodríguez Martínez,1,Salud Reproductiva y Perinatal
"EVALUACIÓN POBLACIONAL DE VARIANTES EN LOS GENES ABCA1 y FTO ASOCIADAS A METABOLISMO DE LIPIDOS Y OBESDIDAD, EN UNA MUESTRA PROBABILISTICA DE REPRESENTATIVIDAD NACIONAL DE LOS DERECHOHABIENTES DEL ISSSTE","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",SANDRA ROMERO HIDALGO,1,Trastornos de la Nutrición
"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana.",Instituto Nacional de Enfermedades Respiratorias,SANTIAGO AVILA RIOS,Candidato,Enfermedades Infecciosas y Parasitarias
"CARACTERIZACIÓN DE LA ACTIVIDAD FUNCIONAL DE STAT-3 EN PACIENTES CON SÍNDROME HIPER IGE, COMO MARCADOR PARA SU DETECCIÓN TEMPRANA.",Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),SANTOS ARGUMEDO LEOPOLDO,3,Salud Reproductiva y Perinatal
IMPLEMENTACIÓN DE UN TAMIZ NEONATAL PARA LA DETECCIÓN OPORTUNA DE LA INMUNODEFICIENCIA COMBINADA SEVERA EN NIÑOS MEXICANOS,Instituto Nacional de Pediatría,Sara Elva Espinosa Padilla,Candidato,Desarrollo y Evaluación de Tecnologías para la Salud
Consecuencias genotóxicas de la quimioterapia ABVD en gametos y células somáticas de pacientes con Enfermedad de Hodgkin,Instituto Nacional de Pediatría,Sara Frías Vázquez,2,Padecimientos Congénitos o de origen genético
BUSQUEDA DE CNVs EN INDIVIDUOS CON TRISOMÍA 21 Y MONOSOMIA X,Instituto Nacional de Pediatría,Sara Frías Vázquez,2,Salud Reproductiva y Perinatal
DETECCIÓN DE TRANSLOCACIONES CRÍPTICAS DE LOS CROMOSOMAS ACROCÉNTRICOS EN FAMILIAS CON ABORTOS CON ANEUPLOIDÍAS,Instituto Nacional de Pediatría,Sara Frías Vázquez,2,Salud Reproductiva y Perinatal
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.",Hospital Infantil De México Federico Gómez,Sara Huerta Yépez,2,Neoplasias Malignas
REGULACIÓN DE LAS PROTEÍNAS DE MULTI-RESISTENCIA A DROGAS POR EL FACTOR DE TRENSCRIPCIÓN YIN-YANG 1 (YY1) EN LA LEUCEMIA LINFOCÍTICA AGUDA: IMPLICACIONES PARA LA PRÁCTICA CLÍNICA,Hospital Infantil De México Federico Gómez,Sara Huerta Yépez,2,NICA SIERRA
EVALUACIÓN DE UN MÉTODO ALTERNO DE TOMA DE MUESTRA SANGUINEA PARA EL DIAGNÓSTICO DE DENGUE CLASICO Y HEMORRAGICO EN PACIENTES DE LA COSTA DE CHIAPAS,Instituto de Salud Del Estado de Chiapas,Sara Vázquez Corzo,,Enfermedades Infecciosas y Parasitarias
Estudio citológico bioquímico y molecular del probable efecto terapéutico del compuesto colágena-polivinilpirrolidona sobre la fibrosis hepática valorado en un modelo in vivo (ratas) e in vitro (hepatocitos primarios de rata y humanos).,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Saúl Cano Colín,,Enfermedades crónicas o degenerativas
Diseño de un ventilador mecánico para terapia intensiva con sistema de control inteligente y operación remota utilizando métodos de medición no invasivos.,"Universidad Nacional Autónoma De México, UNAM",Saul Daniel Santillán Gutiérrez,1,Desarrollo y Evaluación de Tecnologías para la Salud
ESTUDIO COMPARATIVO DE LA EFICACIA EN EL CONTROL DE CRISIS Y EVOLUCIÓN PSICOMÉTRICA DE DOS SISTEMAS DE CALLOSOTOMIA (TÉCNICA QUIRÚRGICA CONVENCIONAL VS RADIOCIRUGÍA).,Hospital Infantil De México Federico Gómez,Saúl Jesús Garza Morales,,Desarrollo y Evaluación de Tecnologías para la Salud
evaluación de las posibilidades de la estimulación vagal en el control de la neuroinflamación,"Universidad Nacional Autónoma De México, UNAM",SCIUTTO CONDE EDDA LYDIA,,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
USO DE LA PRUEBA EN ALIENTO CON METACETINA-13C PARA DETERMINAR PRONÓSTICO EN PACIENTES CON CIRROSIS HEPÁTICA.,Instituto Mexicano del Seguro Social,Segundo Morán Villota,2,Desarrollo y Evaluación de Tecnologías para la Salud
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",SEPULVEDA CERVANTES GABRIEL,Candidato,Desarrollo y Evaluación de Tecnologías para la Salud
PREVENCIÓN PRIMARIA Y TRATAMIENTO TEMPRANO DE DIABETES MELLITUS TIPO 2. ESTUDIO MULTICÉNTRICO Y MULTIDISCIPLINARIO,Instituto Mexicano del Seguro Social,Sergio Agustin Islas Andrade,1,Enfermedades crónicas o degenerativas
CARACTERIZACIÓN CLÍNICO MOLECULAR DE PADECIMIENTOS GENODERMATOLÓGICOS EN POBLACIÓN MEXICANA,"Hospital General ""Dr. Manuel Gea González""",Sergio Alberto Cuevas Covarrubias,2,Salud Reproductiva y Perinatal
ASPECTOS GENOMICOS DE LA CATARATA CONGENITA Y EFECTOS DE LA EXPRESIÓN GÉNICA IN SITU EN LA FORMACIÓN DE LA CARATARA SENIL,Hospital General de México,Sergio Alberto Cuevas Covarrubias,2,Grupos Vulnerables
INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.,Instituto Nacional de Salud Pública,Sergio Antonio Bautista Arredondo,1,Enfermedades del rezago y emergentes
VIÑETAS CLÍNICAS PARA EVALUAR LA CALIDAD DE SERVICIOS DE VIH/SIDA: VALIDANDO UNA NUEVA METODOLOGÍA,Instituto Nacional de Salud Pública,Sergio Antonio Bautista Arredondo,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
IMPACTO DE OPORTUNIDADES EN LOS PATRONES DE UTILIZACIÓN DE SERVICIOS DE SALUD DE LOS HOGARES BENEFICIARIOS EN ÁREAS RURALES,Instituto Nacional de Salud Pública,Sergio Antonio Bautista Arredondo,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
