Campo1,TITULO DEL PROYECTO
2010,Intervención nutricional para potencializar la capacidad funcional a través de la recuperación de la masa y fuerza muscular en adultos mayores con sarcopenia.
2007,INTERVENCIÓN PARA LA MODIFICACIÓN DEL PATRON DE CONSUMO DE BEBIDAS EN NIÑOS EN ESCUELAS DE LA CIUDAD DE MÉXICO
2010,"Inulina de Agave, una alternativa para disminuir los niveles de amonio sérico en pacientes con Cirrosis Hepática."
2004,Investigación del flujo de la transmisión de cepas de Plasmodium vivax en una zona con persistencia de paludismo para su control oportuno.
2005,INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.
2002,INVESTIGACIÓN PARA LA ACCIÓN: DEVELANDO EL CONSUMO EXCESIVO DE ALCOHOL COMO GENERADOR DE PROBLEMAS EN COMUNIDADES INDÍGENAS ÑAHÑU
2010,La asociación de un inhibidor del CYP3A4 mantiene constantes los niveles séricos de IMATINIB en pacientes con Leucemia Mielocítica Crónica.
2009,La calpaína 10 como biomarcador temprano de riesgo para desarrollar Diabetes Mellitus tipo 2 (DM2)
2008,LA DIABETES ENTRE POBLACIÓN INDÍGENA DE LA REGIÓN MAYA: SITUACIÓN ACTUAL Y PROPUESTA DE ADECUACIÓN INTERCULTURAL EN LOS PROGRAMAS DE PREVENCIÓN DE LOS SERVICIOS PÚBLICOS DE SALUD.
2012,La Hemofiltración en Terapia de Reemplazo Renal Continua como terapia de soporte para disminuir mediadores inflamatorios en pacientes con sépsis aguda
2008,LA INFLUENCIA DE LA MIGRACIÓN TRANSNACIONAL EN LA SOLUCIÓN DE PROBLEMAS DE SALUD DE HABITANTES DE ZONAS RURALES DE MÉXICO CON ALTA MIGRACIÓN A CHICAGO.
2002,LA MEDICINA HERBOLARIA. RASTERO SISTEMÁTICO DE LA CALIDAD DE LOS PRODUCTOS MAS UTILIZADOS POR LA POBLACIÓN DEL NORESTE DE MÉXICO.
2003,La participación de los jóvenes en la prevención de los accidentes de tráfico en la Ciudad de Cuernavaca: diseño y evaluación de una campaña informativa a partir de la investigación.
2003,La percepción del riesgo de padecer algún tipo de complicación en pacientes con diabetes mellitus tipo 2
2009,"La promoción de la salud y el fortalecimiento de los recursos psicológicos personales, familiares y sociales como estrategia de intervención ante la migración."
2009,La satisfacción/insatisfacción de los usuarios del sistema de salud con la atención desde sus expectativas y experiencias en México
2010,LA SUPLEMENTACIÓN CON VITAMINAS Y MINERALES REDUCE LA DEPOSICIÓN DE GRASA EN EL ORGANISMO Y LA OBESIDAD EN MUJERES ADULTAS.
2003,Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.
2003,Lanceta láser
2005,LANCETA LÁSER CON SISTEMA AUTOMATIZADO DE POSICIONAMIENTO
2002,LOS ANTECEDENTES HEREDOFAMILIARES Y SU POSIBLE RELACIÓN CON LA SUSCEPTIBILIDAD ENDOTELIAL PARA DESARROLLAR ATEROSCLEROSIS
2005,LOS CANALES DE SODIO COMO BLANCO MOLECULAR EN EL TRATAMIENTO DEL CÁNCER DE PRÓSTATA METASTÁSICO
2004,LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO
2004,Los quirópteros: Están involucrados en la transmisión del Dengue y del Virus del Oeste del Nilo VON?
2005,LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.
2004,Los sistemas de salud frente a la violencia hacia las mujeres indígenas en las principales etnias de México
2012,Manejo del sobrepeso y la obesidad en el primer nivel de atención a la salud: Intervenciones adaptadas al paciente
2009,Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.
2013,Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México
2003,Marcadores biomoleculares aplicables al diagnóstico citológico del Cáncer cervicouterino.
2009,Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.
2008,MARCADORES DE DAÑO ENDOTELIAL EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES
2013,MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2
2009,Marcadores genético-moleculares para el diagnóstico y el análisis de diversidad de aislados de Salmonella enterica obtenidos de productos cárnicos y lácteos
2002,MARCADORES GENÉTICOS EN SÍNDROMES CORONARIOS AGUDOS Y SU RELACIÓN CON EVENTOS CARDIOVASCULARES ADVERSOS.
2009,Marcadores inmunológicos asociados con la gravedad de la infección por el virus de la influenza A H1N1
2004,Marcadores Moleculares Pronósticos en Cáncer de Mama en el Instituto Nacional de Cancerología.
2006,MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SÍNDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS
2003,Mecanismos de acción de la anticoncepción de emergencia: Efectos sobre la expresión endometrial de genes y proteínas reguladas por progesterona.
2011,"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio."
2009,Mecanismos Patogénicos de Falla Renal Aguda en Pacientes Graves por Influenza A H1N1
2009,Medición de marcadores de activación y respuesta inmunológica a retroelementos durante la infección por el virus de la inmunodeficiencia humana.
2011,"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper."
2007,MEJORAS AL PROCESO DE ALTA PRODUCCIÓN DE LOVASTATINA: ESTUDIO DE VARIANTES DEL SISTEMA Y MEJORAMIENTO GENÉTICO DE LA CEPA.
2003,METALOPROTEASAS DE MATRIZ EN SANGRE DE PACIENTES CON CÁNCER PULMONAR COMO MÉTODO PARA EL DIAGNÓSTICO TEMPRANO DE METASTASIS.
2008,"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO"
2008,MÉTODOS DE PCR EN TIEMPO REAL PARA LA DETECCIÓN RÁPIDA DE FALLA AL TRATAMIENTO EN TUBERCULOSIS.
2002,MICROCHIPS DE DNA PARA INVESTIGAR FACTORES VIRALES Y CELULARES ASOCIADOS A LA SOBREVIDA DE LAS PACIENTES CON CÁNCER CÉRVICO-UTERINO INFECTADAS CON EL VIRUS DEL PAPILOMA HUMANO 16 ASIATICO-AMERICANO
2010,"MicroRNAs en circulación sanguínea de pacientes con Cáncer pulmonar: nuevos marcadores, estables y específicos, para el diseño de una prueba diagnóstica no-invasiva y su posible aplicación como blancos terapéuticos a nivel sanguíneo en el Cáncer"
2009,Modelación y Síntesis de nuevos derivados del Oseltamivir con actividad en cepas resistentes de virus AH1N1
2010,"Modelado del nicho ecológico y la distribución geográfica de Aedes aegypti usando información satelital, como base para la implementación de un sistema de vigilancia entomológica de dengue en Veracruz"
2005,MODELO ANALÍTICO DE REDES DE LOCALIDADES Y LA INTERDEPENDENCIA FACTORIAL EN LA TRANSMISIÓN DEL DENGUE UN INSTRUMENTO PARA UNA ESTRATEGIA PARA EL CONTROL
2008,MODELO DE ATENCIÓN PARA ADULTOS MAYORES MALTRATADOS
2013,MODELO DE ATENCIÓN PARA LA PRESCRIPCIÓN DE SILLAS DE RUEDAS Y SISTEMAS DE POSICIONAMIENTO PARA PACIENTES CON DISCAPACIDAD
2005,MODELO DE COLABORACIÓN IMSS-EMPRESAS PARA LA PROMOCIÓN DE HÁBITOS Y CONDUCTAS SALUDABLES DE LOS TRABAJADORES
2002,"MODELO DE EVALUACIÓN ESPACIAL DE COBERTURA, ACCESIBILIDAD Y CALIDAD DEL SISTEMA HOSPITALARIO DE LA SSA Y DESARROLLO DE ESTANDARES DE DESEMPEÑO"
2003,MODELO DE INTERVENCIÓN MULTIDISCIPLINAR PARA DETENER EL AVANCE Y REVERTIR EL PROCESO DE INTOLERANCIA A LA GLUCOSA EN PERSONAS DE ALTO RIESGO
2008,MODELO DE PREVENCIÓN DE ITS/VIH/SIDA PARA POBLACIÓN MIGRANTE EN TRÁNSITO: RÁPIDA MOVILIDAD Y RÁPIDA RESPUESTA DEL SISTEMA DE ATENCIÓN EN SALUD.
2013,MODELO DE PREVENCIÓN DE RIESGOS Y DAÑOS A LA SALUD PARA DIABETES E HIPERTENSIÓN EN EL MARCO DE LA COBERTURA UNIVERSAL EFECTIVA.
2005,MODELO MULTIGÉNICO DE IDENTIFICACIÓN DE MUJERES DE ALTO RIESGO A DESARROLLAR CÁNCER DE MAMA POR MEDIO DEL ANÁLISIS POLIMORFICO DE COMPT CYP17 CYP1A1 CYP19 Y RECEPTOR DE ESTROGENO
2008,MODELOS ANTROPOMÉTRICOS PARA PREDECIR LA COMPOSICIÓN CORPORAL EVALUADA POR ABSORCIOMETRÍA DE DOBLE FOTÓN EN NIÑOS MENORES DE 3 AÑOS DE EDAD CON ENFERMEDAD HEPÁTICA CRÓNICA.
2012,MODULADORES DEL RECEPTOR NUCLEAR DE ESTROGENOS Y PRONÓSTICO DE PACIENTES CON CÁNCER DE MAMA
2005,MONITOR DE SIGNOS VITALES EN TIEMPO REAL PARA NEONATOS Y BEBES MENORES DE UN AÑO.
2007,MONITOR HOLTER PARA ESTUDIOS AMBULATORIOS PROLONGADOS CON CANALES PARA ELECTROENCEFALOGRAFÍA Y ELECTROCARDIOGRAFÍA
2010,Monitoreo de metales y daño a la salud en población infantil de Yucatán.
2003,Mortalidad materna (MM) en regiones indígenas: Una propuesta metodológica para identificar a municipios de alto riesgo en salud materna
2003,MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE
2007,"MOVILIDAD Y BIOACCESIBILIDAD DE METALES DEPOSITADOS EN LA PRESA DE MATA PROVENIENTES DE LA PRESA DE JALES SAN NICOLÁS, GUANAJUATO, MÉXICO"
2003,Mujeres Compañeras de Migrantes y Vulnerabilidad a ITS/VIH/SIDA
2004,Nanociencia en Salud: Producción Controlada de Nanotubos de Carbono Dopados con Nitrógeno para la Fabricación Sensores de Solventes Cancerígenos y Gases Tóxicos
2005,NEGOCIACIÓN PARA EL USO DE CONDÓN ENTRE HOMBRES QUE TIENEN SEXO CON HOMBRES EN LA CIUDAD DE MÉXICO: IMPLICACIONES PARA LA PREVENCIÓN DE LA TRANSMISIÓN DEL VIH Y OTRAS INFECCIONES DE TRANSMISIÓN SEXUAL
2008,NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA
2008,NEUROMODULACIÓN EN EPILEPSIA REFRACTARIA DE ÁREAS ELOCUENTES
2003,Neuronavegador económico de uso múltiple
2007,NEURORRETROALIMENTACIÓN DEL RITMO SENSORIMOTOR EN NIÑOS CON TRASTORNO DE APRENDIZAJE CUYO ELECTROENCEFALOGRAMA PRESENTA ACTIVIDAD EPILEPTIFORME.
2007,NEUROTOXICIDAD DE PLAGUICIDAS ORGANOFOSFORADOS
2012,Nueva Metodología de aislamiento de Mycobacterium tuberculosis en muestras clínicas basada en la combinación de crecimiento in vitro en fases líquida y sólida
2010,NUEVAS ESTRATEGIAS PARA LA BUSQUEDA DE MARCADORES MOLECULARES PARA EL DIAGNÓSTICO DE LA ENFERMEDAD DE ALZHEIMER Y LA ATENCIÓN A LAS FAMILIAS AFECTADAS
2008,NUEVAS ALTERNATIVAS PARA COMBATIR LA HEPATITIS C: EVALUACIÓN DEL EFECTO ANTIVIRAL DE ANTIINFLAMATORIOS NO ESTEROIDEOS (AINES) SOBRE EL PERFIL DE EXPRESIÓN GÉNICA DEL VHC
2007,NUEVOS MARCADORES DE CARDIOPATÍA ISQUÉMICA SILENTE EN PACIENTES CON DIABETES MELLTIUS TIPO 2
2008,OBESIDAD EN ADOLESCENTES Y SU IMPACTO SOBRE LA SALUD Y RESPUESTA INFLAMATORIA: UN ESTUDIO DE INTERVENCIÓN.
2008,OBESIDAD Y EMBARAZO: RIESGO DE COMPLICACIONES PERINATALES ASOCIADAS A CAMBIOS LONGITUDINALES EN LA ADIPOSIDAD Y EL ESTRÉS OXIDATIVO.
2013,"Obesidad, sarcopenia y fragilidad en adultos mayores derechohabientes del IMSS de las Delegaciones Sur y Norte de la Ciudad de México"
2002,OBTENCIÓN DE CÉLULAS HEMATOPOYÉTICAS PROCEDENTES DE SANGRE DE CORDON UMBILICAL
2010,Obtención de células productoras de insulina a partir de células epiteliales del amnios humano y su aplicación en modelos experimentales de la diabetes.
2009,Obtención de imágenes infrarrojas para la exploración del segmento anterior del ojo en presencia de opacidad en córnea
2013,OBTENCIÓN DE UN BIOMATERIAL COMPUESTO ORGÁNICO-INORGANICO CON POROSIDAD CONTROLADA PARA SU APLICACIÓN EN MEDICINA.
2013,Obtención y caracterización de células troncales embrionarias humanas a partir de cigotos en segmentación de mala calidad
2011,"OBTENCIÓN, MANTENIMIENTO Y OPTIMIZACIÓN DEL PROCESO DE DIFERENCIACIÓN DE CÉLULAS PLURIPOTENTES INDUCIDAS HUMANAS (iPSCs) HACIA FENOTIPOS PROGENITORES RETINALES"
2007,OFERTA Y DEMANDA POR SERVICIOS DE SALUD PARA LA ATENCIÓN DEL ABORTO EN HOSPITALES PÚBLICOS DE LA CIUDAD DE MÉXICO DE 2006 A 2009
2011,Optimización de la técnica de PCR punto final para la diferenciación entre Leishmania mexicana y L. braziliensis en improntas de sujetos infectados.
2003,Optimización de la terapia antipsicótica con base en un enfoque cronofarmacológico.
2009,OPTIMIZACIÓN Y ESCALAMIENTO DE LOS PROCESOS BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y QUÍMICO PARA LA TRANSFORMACIÓN DE ESTE COMPUESTO EN EL ANTIVIRAL OSELTAMIVIR
2005,ÓRTESIS PARA EL CONTROL DE LA ALINEACIÓN METATARSO-FALÁNGICA POSTERIOR AL TRATAMIENTO QUIRÚRGICO CORRECTIVO DE HALLUX VALGUS POR TÉCNICA MÍNIMAMENTE INVASIVA.
2007,ORTOPRÓTESIS PARA DISMINUIR EL RIESGO DE REAMPUTACIÓN DE PACIENTES CON AMPUTACIÓN PARCIAL DE PIE.
2006,ÓXIDO NÍTRICO Y DISFUNCIÓN COGNOSCITIVA EN ADULTOS JÓVENES CON TRASTORNOS PSICÓTICOS
2009,Papel de la angiogénesis y linfangiogénesis para la obtención de imagen mastográfica con técnica digital con medio de contraste.
2003,PAPEL DE LA APOPTOSIS DE CÉLULAS ENDOTELIALES EN EL DAÑO TISULAR DEL PIE DIABÉTICO CON INFECCIÓN.
2009,Papel de la Fructosa en la Obesidad y el Síndrome Metabólico
2013,Papel de la isoforma DNMT3B3Delta5 en la inestabilidad cromosómica y el pronóstico clínico en Cáncer de ovario.
2006,PARTICIPACIÓN DE LA FOSFATASA DE LÍPIDOS FOSFATADOS-3 EN EL DESARROLLO VASCULAR
2007,PARTICIPACIÓN DE LA RUTA DE SEÑALIZACIÓN NRF2-KEAP1 EN LA SUSCEPTIBILIDAD A DESARROLLAR LEUCEMIAS MIELOIDES
2003,Participación de las lesiones vasculares y las alteraciones hemodinámicas glomerulares en el daño túbulo-intersticial crónico por proteinuria masiva. Estudio de estrategias para retardar la progresión a la insuficiencia renal terminal?.
2012,PARTICIPACIÓN DE LOS GENES DE LA HOMEOSTASIS DEL COLESTEROL EN LA PROGRESIÓN DE ESTEATOSIS A ESTEATOHEPATITIS NO ALCOHÓLICA EN SUJETOS OBESOS
2008,PARTICIPACIÓN DE POLIMORFISMOS DE LOS GENES DEL SISTEMA RENINA-ANGIOTENSINA EN LA SUSCEPTIBILIDAD AL DESARROLLO DE LA HIPERTENSIÓN ARTERIAL
2012,PARTICIPACIÓN DE POLIMORFISMOS DE LOS GENES DEL SISTEMA RENINA-ANGIOTENSINA EN LA SUSCEPTIBILIDAD AL DESARROLLO DE RESTENOSIS DESPUES DEL IMPLANTE DE STENTS CORONARIOS. CORRELACIÓN CON VARIABLES CLÍNICAS Y ANGIOGRÁFICAS.
2008,PARTICIPACIÓN DEL COMPLEJO DE ADHESIÓN VÍA B-1 INTEGRINA DE OSTEOBLASTOS HUMANOS DIFERENCIADOS A PARTIR DE CÉLULAS MADRE DE MEMBRANA AMNIOTICA EN EL PROCESO DE ADHESIÓN A UNA MATRIZ. POTENCIAL APLICACIÓN EN INGENIERÍA DE TEJIDOS ÓSEOS
2005,PARTICIPACIÓN DEL VIRUS DE VARICELA ZOSTER EN EL DESENCADENAMIENTO DE REACCIONES AUTOINMUNES EN ESCLEROSIS MÚLTIPLE Y POSIBLE APLICACIÓN TERAPÉUTICA DE 3 PROTEÍNAS VIRALES RECOMBINANTES.
2002,PATRONES QUÍMICO-ECOLOGICOS DETERMINANTES EN LA TRANSMISIÓN DEL PALUDISMO EN MÉXICO
2003,Percutor implantable para aceleración de la consolidación de no-unionesóseas
2004,PERFIL ANTROPOMÉTRICO DE LOS TRABAJADORES MEXICANOS.ESTUDIO MULTICÉNTRICO
2013,PERFIL DE EXPRESIÓN DE GENES ASOCIADOS A NEOPLASIAS HEMATOLÓGICAS EN NIÑOS EXPUESTOS A HIDROCARBUROS AROMÁTICOS
2012,PERFIL DE EXPRESIÓN DE MicroRNAS EN PACIENTES PEDIÁTRICOS CON TUMORES DE SISTEMA NERVIOSO CENTRAL
2013,Perfil de expresión de mirnas y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad
2013,"PERFIL DE METILACIÓN EN DNA TUMORAL Y CIRCULANTE COMO BIOMARCADOR DE DIAGNÓSTICO TEMPRANO Y PRONOSTICO, EN PACIENTES CON CÁNCER COLORRECTAL."
2008,"PERFIL DE RESISTENCIA GENOTIPICA DEL VIH A ANTIRRETROVIRALES Y SU ASOCIACIÓN CON FACTORES CLÍNICOS, VIROLOGICOS E INMUNOLÓGICOS EN NIÑOS Y ADOLESCENTES INFECTADOS CON VIH/SIDA"
2009,PERFIL GENÓMICO DEL PROCESO INFLAMATORIO DE LAS ENFERMEDADES CORONARIAS CARDIOVASCULARES: EN EL SURESTE DE MÉXICO
2009,Perfil transcripcional y proteómico de sangre periférica y lavado bronquioalveolar de pacientes con neumonía grave asociada a la infección por el virus A/H1N1 y su correlación con la respuesta inmune inflamatoria.
2013,"Perfiles de expresión de micrornas en plasma y tejido de pacientes con retinoblastoma, búsqueda y validación de biomarcadores no invasivos de diagnóstico en Cáncer"
2009,PERFILES DE EXPRESIÓN GENÉTICA EN CÁNCER DE PULMÓN ASOCIADO CON EXPOSICIÓN AL HUMO DE LEÑA Y TABAQUISMO: IMPLICACIONES TERAPÉUTICAS.
2009,Perfiles de expresión genómica de micrornas en biopsias de tumores de cáncer de mama esporadico en población mexicana.
2011,"Perfiles de expresión y metilación en pacientes con cáncer de mama triple negativo, y su asociación con la respuesta favorable/desfavorales al tratamiento (quimioterapia)."
2002,PERSPECTIVAS DE MEJORA DE LA EFICIENCIA TECNICA DE LA ATENCIÓN PRIMARIA AL DIABÉTICO: EL CASO DE DOS ORGANIZACIONES DE SEGURIDAD SOCIAL EN UN PAIS DE ECONOMIA EMERGENTE
2009,Polarización de las células T de memoria centrales como biomarcador de riesgo en pacientes en etapa avanzada de la enfermedad por VIH
2013,Polimorfismo genético de la Paraoxonasa 1 (Q192R) y su asociación con marcadores de riesgo cardiovascular en mujeres mexicanas expuestas a hidrocarburos aromáticos policíclicos.
2008,POLIMORFISMOS DE LA REGIÓN REGULADORA DEL GEN DE INTERLEUCINA-10 Y SU ASOCIACIÓN CON EL RIESGO DE DESARROLLAR CÁNCER CERVICAL EN MUJERES PROCEDENTES DEL ESTADO DE GUERRERO
2010,"Polimorfismos de los genes de la adiponutrina, apolipoproteína C3 y lipasa hepática y su asociación con comorbilidades de la obesidad en población Mexicana"
2008,"POLIMORFISMOS DEL GEN IL-10 Y SU CORRELACIÓN CON EL PATRÓN DE CITOCINAS Y SINTOMATOLOGÍA CLÍNICA EN PACIENTES CON HEPATITIS C CRÓNICA ,TRATADOS CON PEG-IFN ALFA 2: UN ENFOQUE DE FÁRMACOGENÉTICA,"
2008,POLIMORFISMOS DEL GEN MDR1 ASOCIADOS AL NIVEL DE EXPRESIÓN DE RNA MENSAJERO DEL MISMO GEN Y A LA RESPUESTA AL TRATAMIENTO EN SARCOMAS DE NIÑOS ATENDIDOS EN EL INP
2011,Polimorfismos en Calpaína-10 y su efecto sobre la expresión del gen en niños con obesidad. Posible marcador de riesgo para síndrome metabólico
2013,Polimorfismos en el gen de VEGF y su relación con el Cáncer de próstata en la población del occidente del país
2008,POLIMORFISMOS EN GENES DE LA RUTA DE SEÑALIZACIÓN WNT Y SU ASOCIACIÓN EN LA VARIACIÓN DE LA DENSIDAD MINERAL ÓSEA (DMO) EN PACIENTES CON OSTEOPOROSIS.
2009,"POLIMORFISMOS EN LOS GENES DE OPG, LRP5 Y ESR1 COMO MARCADORES DE RIESGO GENÉTICO PARA LA PRESENTACIÓN DE FRACTURAS OSTEOPORÓSTICAS EN MUJERES POSMENOPÁUSICAS"
2009,"Polimorfismos genéticos del CYP2D6,CYP3A4, CYP3A5, CYP2C9 y CYP2C19 en población Indígena del noroeste de México y su impacto en la respuesta a medicamentos."
2009,Polimorfismos genéticos en el síndrome de disfunción orgánica múltiple en niños mestizos mexicanos
2003,Polimorfismos génicos asociados a la pérdida de la densidad mineral ósea de columna vertebral en mujeres mexicanas
2007,POLIMORFISMOS GENICOS RELACIONADOS CON OSTEOPOROSIS DE CADERA EN MUJERES MEXICANAS
2011,Polimorfismos y niveles de expresión del gen de quimasa y su relación funcional sobre la expresión de genes vasoactivos como marcadores de riesgo para el desarrollo de la preeclampsia.
2002,POLÍTICAS PÚBLICAS SECTORIALES E INTERSECTORIALES PARA MEJORAR LOS NIVELES DE SALUD.
2010,POTENCIAL ANTIOXIDANTE ASOCIADO AL ESTRÉS ESTRUCTURAL Y ESTADO RED-OX DE LA ALBÚMINA DEL PLASMA COMO FACTOR PREDICTIVO DE LA PROGRESIÓN DE LA ENFERMEDAD RENAL CRÓNICA (ERC) EN EL PACIENTE DIABÉTICO.
2012,PREACONDICIONAMIENTO ISQUÉMICO REMOTO EN TRASPLANTE RENAL Y HEPATICO PARA MEJORAR LA VIABILIDAD DE LOS INJERTOS
2008,PRE-CERTIFICACIÓN DE LA INTERRUPCIÓN DE LA TRANSMICIÓN DE ONCHOCERCA VOLVULUS EN MÉXICO
2008,PREDICCIÓN DE PREECLAMPSIA Y SU SEVERIDAD MEDIANTE LA DETERMINACIÓN DE PROLACTINA URINARIA Y SU RELACIÓN CON FACTORES ANGIOGENICOS CIRCULANTES
2006,PREDICCIÓN DE RECAIDA EN NIÑOS CON LEUCEMIA AGUDA LINFOBLASTICA UTILIZANDO LA EXPRESIÓN DEL GEN CASP8AP2 ASOCIADA A ENFERMEDAD MÍNIMA RESIDUAL
2008,"PREDICCIÓN DE ZONAS DE RIESGO DE ADQUISICIÓN DE ENFERMEDAD DE LYME EN LA REPÚBLICA MEXICANA Y GENOTIPIFICACIÓN DE BORRELIA BURGDORFERI PREVALENTE EN GARRAPATAS, RESERVORIOS Y ESPECIMENES CLÍNICOS."
2008,PREDICCIÓN Y PREVENCIÓN DE DAÑO NEUROLÓGICO EN RESTRICCIÓN DEL CRECIMIENTO INTRAUTERINO.
2003,Preparación por extrusión y caracterización de películas poliméricas electroconductoras con uso potencial en biosensores para ácido úrico y urea
2007,PREPARACIÓN Y EVALUACIÓN DE RADIOCONJUGADOS DE LYS3-BOMBESINA PARA LA DETECCIÓN ESPECÍFICA Y TEMPRANA DE CÁNCER DE MAMA
2009,PRESENCIA Y TRASMISIÓN DEL AGENTE CAUSAL DE LA ENFERMEDAD DE CHAGAS Y VECTORES ASOCIADOS A LA INFECCIÓN EN EL ESTADO DE MICHOACÁN Y CIUDAD DE MÉXICO.
2004,Prevalencia de Apnea del Sueño en Adultos de la Ciudad de México y su relacion con la obesidad. Estudio con Base Poblacional.
2008,"PREVALENCIA DE DIABETES TIPO 2, ENFERMEDADES CARDIOVASCULARES Y ENFERMEDAD RENAL EN POBLACIÓN INDÍGENA Y NO INDÍGENA DE COMITÁN DE DOMÍNGUEZ, CHIAPAS. IDENTIFICACIÓN DE FACTORES DE RIESGO Y COMORBILIDAD ASOCIADA."
2009,PREVALENCIA DE ENFERMEDAD RENAL CRÓNICA Y SU ASOCIACIÓN CON FACTORES DE RIESGO PARA ENFERMEDAD CARDIOVASCULAR Y DIABETES EN LA ENCUESTA NACIONAL DE SALUD Y NUTRICION DEL DERECHOHABIENTE 2007
2013,"Prevalencia de infección en vectores y reservorios de leishmaniasis en focos endémicos de Campeche y Quintana Roo, México"
2009,Prevalencia de infección por VIH y otras Infecciones de Transmisión Sexual en Reclusorios del Estado de Guanajuato
2007,PREVALENCIA DE INFECCIONES MÚLTIPLES DE VPH EN LESIONES PREMALIGNAS Y CÁNCER CÉRVICO UTERINO Y ANÁLISIS DE COMPETENCIA ENTRE VPHS DE ALTO RIESGO .
2007,"PREVALENCIA DEL SÍNDROME METABÓLICO ENTRE LA POBLACIÓN DERECHOHABIENTE DEL ISSSTE, SUS POSIBLES ASOCIACIONES CLÍNICAS Y EPIDEMIOLÓGICAS, Y SU RELACIÓN CON LA COMPOSICIÓN ÉTNICA DE LOS INDIVIDUOS."
2012,"Prevalencia, Caracterización y Tipificación Molecular de Beta-Lactamasas de Interés Clínico en Enterobacterias Aisladas de Pacientes Pediátricos"
2007,"PREVALENCIA, INCIDENCIA Y PERSISTENCIA DE VPH EN HOMBRES QUE TIENEN SEXO CON HOMBRES: UN ELEVADO RIESGO DE NEOPLASIA INTRAEPITELIAL ANAL."
2010,Prevención de daño renal agudo mediante el bloqueo del receptor de mineralocorticoides
2005,PREVENCIÓN DE ENFERMEDADES DE TRANSMISIÓN SEXUAL Y EMBARAZO ADOLESCENTE: DISEÑO EXPERIMENTAL DE UNA INTERVENCIÓN EDUCATIVA SOBRE USO DE CONDÓN Y ANTICONCEPCIÓN DE EMERGENCIA PARA PADRES DE FAMILIA.
2009,PREVENCIÓN DE EXACERBACIONES CON VENTILACIÓN MECÁNICA NO INVASIVA EN EPOC ESTABLE MUY GRAVE (GOLD IV)
2005,PREVENCIÓN DE INFECCIONES RESPIRATORIAS VIRALES DE ADQUISICIÓN INTRA-HOSPITALARIA
2013,"Prevención de la hipo/hiper oxigenación neonatal mediante un sistema electrónico de estabilización y control automático de la saturación de oxígeno, basado en un modelo matemático de la homeostasis respiratoria del recién nacido."
2002,PREVENCIÓN DE LA ANEMIA NUTRICIONAL EN LOS NIÑOS MENORES DE UN AÑO DE EDAD
