Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Víctor Hugo Borja Aburto,Nivel 2,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Salud Pública
Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Cuauhtémoc Arturo Juárez Pérez,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",MEDICINA DEL TRABAJO
Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Guadalupe Aguilar Madrid,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",MEDICINA DEL TRABAJO
Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Manuel Díaz Vega,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",MEDICINA DEL TRABAJO
Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Raúl Francisco Sánchez Román,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",MEDICINA DEL TRABAJO
Laboratorio de Salud en el Trabajo: Área de Ergonomía Ocupacional.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Nadia Mayola Vélez Zamora,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Ing Quimica Higiene ySeguridad
Lanceta láser,"Instituto Politécnico Nacional, I.P.N.",Hector Girón Castillo,,Instituto de Estudios Superiores de Tamaulipas,DISPOSITIVOS DE LASER
Lanceta láser,"Instituto Politécnico Nacional, I.P.N.",Gabriela Camero Berrones,,"Instituto Politécnico Nacional, I.P.N.",TECNOLOGÍA  ELECTRÓNICA
Lanceta láser,"Instituto Politécnico Nacional, I.P.N.",Julio Laria Menchaca,,"Instituto Politécnico Nacional, I.P.N.",Instrumentación
Lanceta láser,"Instituto Politécnico Nacional, I.P.N.",Teresa Flores Reyes,,"Instituto Politécnico Nacional, I.P.N.",QUÍMICA FÍSICA
LANCETA LÁSER CON SISTEMA AUTOMATIZADO DE POSICIONAMIENTO,"Instituto Politécnico Nacional, I.P.N.",JOSE LUIS CABRERA OLIVA,,Universidad de la Habana,EQUIPOS MEDICOS
LANCETA LÁSER CON SISTEMA AUTOMATIZADO DE POSICIONAMIENTO,"Instituto Politécnico Nacional, I.P.N.",MIGUEL ANGEL ARRONTE GARCÍA,,"Instituto Politécnico Nacional, I.P.N.",LASER
LANCETA LÁSER CON SISTEMA AUTOMATIZADO DE POSICIONAMIENTO,"Instituto Politécnico Nacional, I.P.N.",Teresa Flores Reyes,,"Instituto Politécnico Nacional, I.P.N.",LASER
LOS CANALES DE SODIO COMO BLANCO MOLECULAR EN EL TRATAMIENTO DEL CÁNCER DE PRÓSTATA METASTÁSICO,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),ROBERT FRENCH,,UNIVERSITY OF CALGARY,CANALES DE SODIO
LOS CANALES DE SODIO COMO BLANCO MOLECULAR EN EL TRATAMIENTO DEL CÁNCER DE PRÓSTATA METASTÁSICO,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Diego Ricardo Félix Grijalva,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),CANALES IÓNICOS
LOS CANALES DE SODIO COMO BLANCO MOLECULAR EN EL TRATAMIENTO DEL CÁNCER DE PRÓSTATA METASTÁSICO,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),CARLOS ARCE TOLEDO,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Urología
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Maria Victoria Goycochea Robles,Nivel 1,Instituto Mexicano del Seguro Social,Calidad de la Atención Médica
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Juan Garduño Espinosa,,Instituto Mexicano Del Seguro Social,Calidad de la Atención Médica
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Nicolás Guillermo Galindo Mendoza,,Instituto Mexicano Del Seguro Social,Calidad de la Atención Médica
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Miguel Bedolla,,"University of Texas, United States",Ética Médica
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Martha Villaseñor Farías,,Instituto Mexicano Del Seguro Social,Investigación Cualitativa
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Alberto Lifshitz Guinzberg,,Secretaría De Salud,Medicina Interna
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Miguel Romero Téllez,,Secretaría De Salud,Atención Médica
LOS COMITÉS DE ÉTICA CLÍNICA (CLECS) COMO ESTRATEGIA PARA MEJORAR LA CALIDAD DE LA ATENCIÓN MÉDICA EN MÉXICO,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",José Medesigo Micete,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Calidad de la Atención Médica
Los quirópteros: Están involucrados en la transmisión del Dengue y del Virus del Oeste del Nilo VON?,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Elizabeth Loza Rubio,Nivel 1,"Instituto Nacional De Investigaciones Forestales, Agricolas Y Pecuarias",BIOLOGÍA MOLECULAR
"ASOCIACIÓN ENTRE LOS POLIMORFISMOS DE DIVERSOS GENES QUE PARTICIPAN EN EL METABOLISMO DE LAS LIPOPROTEÍNAS Y LAS DISLIPIDEMIAS, EN PACIENTES CON VIH EN TRATAMIENTO PROLONGADO CON ANTIRRETROVIRALES.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Juan Gerardo Sierra Madero,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",INFECTOLOGÍA/VIH-SIDA
Los quirópteros: Están involucrados en la transmisión del Dengue y del Virus del Oeste del Nilo VON?,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Antonio González Orijel,,Secretaría Del Medio Ambiente Y Recursos Naturales,Fauna silvestre
Los quirópteros: Están involucrados en la transmisión del Dengue y del Virus del Oeste del Nilo VON?,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",María De Lourdes Romero Almaraz,,"Universidad Nacional Autónoma De México, UNAM",Mastozoología
Los quirópteros: Están involucrados en la transmisión del Dengue y del Virus del Oeste del Nilo VON?,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Cornelio Sánchez Hernández,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Mastozoología
Los quirópteros: Están involucrados en la transmisión del Dengue y del Virus del Oeste del Nilo VON?,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",CELSO RAMOS GARCÍA,Nivel 2,Instituto Nacional De Salúd Pública,Dengue
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,Sandra Guadalupe Treviño Siller,,Instituto Nacional De Salúd Pública,ANTROPOLOGÍA SOCIAL
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,ISABEL HERNÁNDEZ TEZOQUIPA,Nivel 1,Instituto Nacional De Salúd Pública,CIENCIAS SOCIALES EN MEDICINA
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,PASTOR BONILLA FERNÁNDEZ,,Instituto Nacional De Salúd Pública,EPIDEMIOLOGÍA
"ASOCIACIÓN ENTRE LOS POLIMORFISMOS DE DIVERSOS GENES QUE PARTICIPAN EN EL METABOLISMO DE LAS LIPOPROTEÍNAS Y LAS DISLIPIDEMIAS, EN PACIENTES CON VIH EN TRATAMIENTO PROLONGADO CON ANTIRRETROVIRALES.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",CARLOS ALBERTO AGUILAR SALINAS,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",ENDOCRINOLOGÍA Y METABOLISMO DE LÍPIDOS
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,ERICKA ESCALANTE IZETA,,Instituto Nacional De Salúd Pública,Nutriología
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,ELBA ABRIL VALDEZ,,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",SALUD PÚBLICA
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,FRANCISCO JAVIER LÓPEZ ANTUÑANO,,Instituto Nacional De Salúd Pública,SALUD PÚBLICA
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,SOFIA CUEVAS BAHENA,,SERVICIOS DE SALUD DE GUERRERO,SALUD PÚBLICA
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,HÉCTOR G. HERNÁNDEZ PÉREZ,,SERVICIOS DE SALUD DE JALISCO,SALUD PÚBLICA
LOS SERVICIOS DE SALUD Y LA PROMOCIÓN DE ESPACIOS SALUDABLES EN ESCUELAS DE NIVEL PRIMARIA DE CUATRO ESTADOS DE LA REPÚBLICA MEXICANA.,Instituto Nacional De Salud Pública,MARIANO GARCÍA VIVEROS,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",PEDAGOGÍA
Los sistemas de salud frente a la violencia hacia las mujeres indígenas en las principales etnias de México,Instituto Nacional De Salud Pública,Beatriz Terrazas Mata,,Comisión Nacional Para El Desarrollo De Los Pueblos Indigenas,ANTROPOLOGÍA SOCIAL
"ASOCIACIÓN ENTRE LOS POLIMORFISMOS DE DIVERSOS GENES QUE PARTICIPAN EN EL METABOLISMO DE LAS LIPOPROTEÍNAS Y LAS DISLIPIDEMIAS, EN PACIENTES CON VIH EN TRATAMIENTO PROLONGADO CON ANTIRRETROVIRALES.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Juan Jose Calva Mercado,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",ENFERMEDADES INFECCIOSAS (VIH/SIDA) Y EPIDEMIOLOGÍA CLÍNICA
Los sistemas de salud frente a la violencia hacia las mujeres indígenas en las principales etnias de México,Instituto Nacional De Salud Pública,Soledad González Montes,Nivel 2,"El Colegio De México, A.C.",ANTROPOLOGÍA MÉDICA
Los sistemas de salud frente a la violencia hacia las mujeres indígenas en las principales etnias de México,Instituto Nacional De Salud Pública,Clara Juárez Ramírez,,Instituto Nacional De Salúd Pública,ANTROPOLOGÍA MÉDICA
Los sistemas de salud frente a la violencia hacia las mujeres indígenas en las principales etnias de México,Instituto Nacional De Salud Pública,Aurora del Rio Solezzi,,Secretaría De Salud,EPIDEMIOLOGÍA
Manejo del sobrepeso y la obesidad en el primer nivel de atención a la salud: Intervenciones adaptadas al paciente,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",MARIA DE LOS ÁNGELES AEDO SANTOS,,,
Manejo del sobrepeso y la obesidad en el primer nivel de atención a la salud: Intervenciones adaptadas al paciente,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Malaquias López Cervantes,Nivel 3,"Universidad Nacional Autónoma De México, UNAM",
PUEDE UNA MANIOBRA DE INTERVENCIÓN INFORMATIVA DISMINUIR EL NIVEL DE COTININA URINARIA EN PACIENTES PEDIÁTRICOS CON TABAQUISMO PASIVO?,Instituto Mexicano del Seguro Social,María Elena Yuriko Furuya Meguro,Nivel 1,Instituto Mexicano del Seguro Social,PEDIATRÍA Y NEONATOLOGÍA
"ASOCIACIÓN ENTRE LOS POLIMORFISMOS DE DIVERSOS GENES QUE PARTICIPAN EN EL METABOLISMO DE LAS LIPOPROTEÍNAS Y LAS DISLIPIDEMIAS, EN PACIENTES CON VIH EN TRATAMIENTO PROLONGADO CON ANTIRRETROVIRALES.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",María Teresa Tusie Luna,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",GENÓMICA HUMANA
Manejo del sobrepeso y la obesidad en el primer nivel de atención a la salud: Intervenciones adaptadas al paciente,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",MARIO ENRIQUE ROJAS RUSSELL,,"Universidad Nacional Autónoma De México, UNAM",Psicología Clínica y de la Salud
Manejo del sobrepeso y la obesidad en el primer nivel de atención a la salud: Intervenciones adaptadas al paciente,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Laura Leticia Tirado Gómez,Nivel 1,Instituto Nacional De Pediatría,
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Berta González Frankenberger,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Neurobiología",Neuroimagen
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Thalia Fernández Harmony,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",Neurofisiología
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Gloria Nélida Avecilla Ramírez,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Neurobiología",PSICOFISIOLOGÍA
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Josefina Ricardo Garcell,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Neurofisiología Clínica
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",EFRAIN SANTIAGO RODRIGUEZ,Nivel 1,"Universidad Nacional Autónoma De México, UNAM","Neurología, Neurofisiología Clínica"
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ANTONIO FERNANDEZ BOUZAS,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",Neurorradiología
Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Miguel de Jesús Colmenero Batallán,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Neurobiología",Neurofisiología Clínica
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",GUADALUPE ANTONIO LOERA CASTAÑEDA,,"Instituto Politécnico Nacional, I.P.N.",
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",VERÓNICA LOERA CASTAÑEDA,,"Instituto Politécnico Nacional, I.P.N.",Genética Humana
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",JESUS CELIS PORRAS,,Instituto Tecnologico De DURANGO,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",ISMAEL ANTONIO LARES ASEF,Nivel 1,"Instituto Politécnico Nacional, I.P.N.",
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",María de la Merced Velazquez Quintana,,Instituto Chihuahuense de la Salud / General del Grupo Unidad de Investigación en Salud (Grupo UISÂ®),
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",Jorge Arturo Torres Monreal,,Universidad Autónoma España,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",Jorge Alberto Díaz García,,Universidad España,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",Wilma Citlali Espino Vazquez,,Clinica de Medicina Familiar del ISSSTE Durango,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",IGNACIO VILLANUEVA FIERRO,Nivel 1,"Instituto Politécnico Nacional, I.P.N.",
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",MIRIAM PAVELHT CASILLAS AVILA,,,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",Jesus Fernando Guerrero Romero,Nivel 3,Instituto Mexicano del Seguro Social,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",Martha Rodríguez Morán,Nivel 3,Instituto Mexicano del Seguro Social,
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",ANGEL MILIAR GARCÍA,Nivel 1,"Instituto Politécnico Nacional, I.P.N.",
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",ELEAZAR LARA PADILLA,Nivel 1,"Instituto Politécnico Nacional, I.P.N.",
Marcadores biológicos de riesgo metabólico y cardiovascular en pacientes con sobrepeso y obesidad de la ciudad de Durango y su modificación con una intervención cognitivo-conductual en población del noroeste de México,"Instituto Politécnico Nacional, I.P.N.",Jose Manuel Salas Pacheco,Nivel 2,Universidad Juárez del Estado de Durango,
Marcadores biomoleculares aplicables al diagnóstico citológico del Cáncer cervicouterino.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",ALEJANDRO MANUEL GARCÍA CARRANCA,Nivel 2,Instituto de Investigaciones Biomédicas,Oncología Molecular
Marcadores biomoleculares aplicables al diagnóstico citológico del Cáncer cervicouterino.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",María Del Carmen Martínez,Candidato,Instituto Mexicano del Seguro Social,Epidemiología y estadística
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,OSCAR ORIHUELA RODRIGUEZ,,Instituto Mexicano del Seguro Social,CARDIOLOGÍA
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,MA DE JESÚS VENTURA GARCÍA,,Instituto Mexicano del Seguro Social,Epidemiología clínica
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,DIANA VILLANUEVA NOCHES,,Instituto Mexicano del Seguro Social,Medicina Interna
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,JOSÉ GABRIEL FERMIN PIÑON,,Instituto Mexicano del Seguro Social,Medicina Interna
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,Alejandra Cisneros Marínez,,Instituto Mexicano del Seguro Social,Nefrología
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,HÉCTOR HINOJOSA HEREDIA,,Instituto Mexicano del Seguro Social,Nefrología
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,José Ramón Paniagua Sierra,Nivel 3,Instituto Mexicano del Seguro Social,Nefrología
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,GUADALUPE ALCÁNTARA ORTEGA,,Instituto Mexicano del Seguro Social,
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,MIRIAM ZAVALA PÉREZ,,Instituto Mexicano del Seguro Social,Radiología
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,CARMEN JOSEFINA MORA VILLALPANDO,,Instituto Mexicano del Seguro Social,Análisis Bioquímico
Marcadores bioquímicos en la progresión de la calcificación arterial y su asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.,Instituto Mexicano del Seguro Social,MARÍA DEL CARMEN PRADO URIBE,,Instituto Mexicano del Seguro Social,Análisis BIoquímico
MARCADORES DE DAÑO ENDOTELIAL EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES,Instituto Nacional de Enfermedades Respiratorias,ALFONSO RAFAEL SALGADO AGUAYO,,Instituto Nacional de Enfermedades Respiratorias,TÉCNICAS DE BIOLOGÍA MOLECULAR Y DE MICROSCOPIA CONFOCAL
MARCADORES DE DAÑO ENDOTELIAL EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES,Instituto Nacional de Enfermedades Respiratorias,ERNESTO MALDONADO OLVERA,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",BIOLOGÍA DEL DESARROLLO
MARCADORES DE DAÑO ENDOTELIAL EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES,Instituto Nacional de Enfermedades Respiratorias,ROSA ESTELA NAVARRO GONZÁLEZ,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",BIOLOGÍA DEL DESARROLLO
MARCADORES DE DAÑO ENDOTELIAL EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES,Instituto Nacional de Enfermedades Respiratorias,María del Carmen Navarro González,Nivel 1,Instituto Nacional de Enfermedades Respiratorias,REUMATOLOGÍA / MEDICINA INTERNA
MARCADORES DE DAÑO ENDOTELIAL EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES,Instituto Nacional de Enfermedades Respiratorias,MIGUEL OCTAVIO GAXIOLA GAXIOLA,Nivel 1,Instituto Nacional de Enfermedades Respiratorias,ANATOMÍA PATOLÓGICA
